level,grade_band,school,residence_area,n
MS,,Eckstein,Meany,2
MS,,Eckstein,David T. Denny Intl,1
MS,,Hamilton,Hamilton Intl,703
MS,,Hamilton,McClure,140
MS,,Hamilton,Eckstein,43
MS,,Hamilton,Jane Addams MS,35
MS,,Hamilton,Robert Eagle Staff,30
MS,,Hamilton,Whitman,20
MS,,Hamilton,Meany,13
MS,,Hamilton,Out of District/Unknown,3
MS,,Hamilton,Aki Kurose,2
MS,,Jane Addams,Jane Addams MS,721
MS,,Jane Addams,Eckstein,92
MS,,Jane Addams,Out of District/Unknown,7
MS,,Jane Addams,Meany,4
MS,,Jane Addams,Hamilton Intl,2
MS,,Jane Addams,Robert Eagle Staff,2
MS,,Jane Addams,Washington,1
MS,,Madison,Madison,965
MS,,Madison,David T. Denny Intl,37
MS,,Madison,Out of District/Unknown,7
MS,,Madison,Mercer Intl,3
MS,,Madison,Washington,2
MS,,Madison,Aki Kurose,1
MS,,Madison,McClure,1
MS,,Madison,Meany,1
MS,,McClure,McClure,455
MS,,McClure,Meany,5
MS,,McClure,Hamilton Intl,3
MS,,McClure,Out of District/Unknown,3
MS,,McClure,Whitman,3
MS,,McClure,Robert Eagle Staff,2
MS,,McClure,Washington,2
MS,,McClure,Aki Kurose,1
MS,,McClure,Eckstein,1
MS,,Meany,Meany,477
MS,,Meany,Washington,14
MS,,Meany,Out of District/Unknown,9
MS,,Meany,Aki Kurose,4
MS,,Meany,David T. Denny Intl,2
MS,,Meany,Madison,2
MS,,Meany,Jane Addams MS,1
MS,,Meany,McClure,1
MS,,Meany,Mercer Intl,1
MS,,Mercer Intl,Mercer Intl,643
MS,,Mercer Intl,Washington,59
MS,,Mercer Intl,Aki Kurose,46
MS,,Mercer Intl,Out of District/Unknown,6
MS,,Mercer Intl,Meany,5
MS,,Robert Eagle Staff,Robert Eagle Staff,588
MS,,Robert Eagle Staff,Whitman,120
MS,,Robert Eagle Staff,Hamilton Intl,5
MS,,Robert Eagle Staff,Out of District/Unknown,5
MS,,Robert Eagle Staff,Jane Addams MS,4
MS,,Robert Eagle Staff,Eckstein,2
MS,,Robert Eagle Staff,McClure,2
MS,,Robert Eagle Staff,Aki Kurose,1
MS,,Robert Eagle Staff,David T. Denny Intl,1
MS,,Robert Eagle Staff,Madison,1
MS,,Washington,Washington,476
MS,,Washington,Aki Kurose,37
MS,,Washington,Meany,36
MS,,Washington,Mercer Intl,12
MS,,Washington,Out of District/Unknown,5
MS,,Washington,Hamilton Intl,1
MS,,Washington,McClure,1
MS,,Whitman,Whitman,621
MS,,Whitman,Robert Eagle Staff,8
MS,,Whitman,McClure,3
MS,,Whitman,Jane Addams MS,2
HS,,Ballard,Ballard,1645
HS,,Ballard,Ingraham,20
HS,,Ballard,Lincoln,15
HS,,Ballard,Garfield,2
HS,,Chief Sealth Intl,Chief Sealth Intl,996
HS,,Chief Sealth Intl,West Seattle HS,44
HS,,Chief Sealth Intl,Out of District/Unknown,28
HS,,Chief Sealth Intl,Garfield,3
HS,,Chief Sealth Intl,Franklin,2
HS,,Chief Sealth Intl,Ingraham,1
HS,,Chief Sealth Intl,Rainier Beach,1
HS,,Franklin,Franklin,1129
HS,,Franklin,Rainier Beach,37
HS,,Franklin,Out of District/Unknown,18
HS,,Franklin,Garfield,10
HS,,Franklin,Ballard,1
HS,,Franklin,Nathan Hale,1
HS,,Franklin,Roosevelt,1
HS,,Garfield,Garfield,1223
HS,,Garfield,Franklin,121
HS,,Garfield,Rainier Beach,65
HS,,Garfield,Out of District/Unknown,18
HS,,Garfield,Lincoln,3
HS,,Garfield,Chief Sealth Intl,2
HS,,Garfield,West Seattle HS,2
HS,,Garfield,Ballard,1
HS,,Garfield,Nathan Hale,1
HS,,Ingraham,Ingraham,1206
HS,,Ingraham,Nathan Hale,61
HS,,Ingraham,Ballard,39
HS,,Ingraham,Out of District/Unknown,15
HS,,Ingraham,Lincoln,12
HS,,Ingraham,Roosevelt,10
HS,,Ingraham,Garfield,4
HS,,Ingraham,Chief Sealth Intl,1
HS,,Lincoln,Lincoln,1215
HS,,Lincoln,Roosevelt,196
HS,,Lincoln,Nathan Hale,135
HS,,Lincoln,Ballard,122
HS,,Lincoln,Ingraham,59
HS,,Lincoln,Garfield,10
HS,,Lincoln,Franklin,5
HS,,Lincoln,Chief Sealth Intl,2
HS,,Lincoln,Out of District/Unknown,2
HS,,Lincoln,Rainier Beach,2
HS,,Lincoln,West Seattle HS,1
HS,,Nathan Hale,Nathan Hale,926
HS,,Nathan Hale,Roosevelt,35
HS,,Nathan Hale,Ingraham,20
HS,,Nathan Hale,Out of District/Unknown,12
HS,,Nathan Hale,Ballard,4
HS,,Nathan Hale,Garfield,4
HS,,Nathan Hale,Franklin,2
HS,,Nathan Hale,Lincoln,2
HS,,Rainier Beach,Rainier Beach,728
HS,,Rainier Beach,Franklin,23
HS,,Rainier Beach,Out of District/Unknown,17
HS,,Rainier Beach,Garfield,5
HS,,Rainier Beach,Ingraham,2
HS,,Rainier Beach,Ballard,1
HS,,Rainier Beach,Chief Sealth Intl,1
HS,,Rainier Beach,Lincoln,1
HS,,Roosevelt,Roosevelt,1472
HS,,Roosevelt,Nathan Hale,24
HS,,Roosevelt,Lincoln,10
HS,,Roosevelt,Garfield,6
HS,,Roosevelt,Out of District/Unknown,6
HS,,Roosevelt,Ballard,5
HS,,Roosevelt,Ingraham,5
HS,,Roosevelt,Franklin,3
HS,,Roosevelt,Rainier Beach,3
HS,,Roosevelt,Chief Sealth Intl,2
HS,,West Seattle,West Seattle HS,1383
HS,,West Seattle,Chief Sealth Intl,56
HS,,West Seattle,Out of District/Unknown,6
HS,,West Seattle,Garfield,3
HS,,West Seattle,Franklin,2
