GEOID,school_id,walk_frac
530330014003,11,0.190111
530330014004,11,0.262404
530330015001,11,0.43098
530330015002,11,0.156622
530330016001,11,0.300972
530330016002,11,0.84333
530330016003,11,1.0
530330017011,11,0.749258
530330017012,11,4.8e-05
530330017022,11,1.0
530330017023,11,1.0
530330017024,11,0.274526
530330027004,11,0.283296
530330028001,11,0.87095
530330028002,11,1.0
530330028003,11,1.0
530330028004,11,0.435256
530330029001,11,1.0
530330029002,11,1.0
530330029003,11,1.0
530330030001,11,1.0
530330030002,11,1.0
530330030003,11,1.0
530330030004,11,1.0
530330031001,11,1.0
530330031002,11,1.0
530330031003,11,1.0
530330031004,11,1.0
530330031005,11,0.534434
530330032011,11,0.52401
530330032012,11,0.493093
530330032013,11,1.0
530330032021,11,1.0
530330032022,11,1.0
530330032023,11,1.0
530330033011,11,1.0
530330033012,11,1.0
530330033013,11,1.0
530330033021,11,1.0
530330033022,11,1.0
530330033023,11,1.0
530330034001,11,1.0
530330034002,11,1.0
530330034003,11,1.0
530330035001,11,0.999432
530330035002,11,1.0
530330035003,11,0.933842
530330046001,11,0.09018
530330047011,11,1.0
530330047012,11,0.464033
530330047013,11,1.0
530330047021,11,1.0
530330047022,11,1.0
530330047023,11,1.0
530330047031,11,1.0
530330047032,11,1.0
530330047033,11,0.804837
530330048001,11,1.0
530330048002,11,0.650158
530330048003,11,0.449452
530330048004,11,1.0
530330049011,11,0.532767
530330049012,11,0.170243
530330093003,12,0.101298
530330094003,12,0.014202
530330100011,12,0.588954
530330100012,12,1.0
530330100013,12,0.945073
530330100021,12,1.0
530330100022,12,0.966226
530330100023,12,0.419343
530330101011,12,0.14333
530330101012,12,0.966779
530330101013,12,0.740792
530330101022,12,0.037779
530330103012,12,0.320066
530330103013,12,0.880088
530330103021,12,0.999692
530330103022,12,1.0
530330103023,12,0.24748
530330104011,12,1.0
530330104012,12,1.0
530330104013,12,1.0
530330104021,12,0.768295
530330104022,12,1.0
530330104023,12,1.0
530330104024,12,1.0
530330110011,12,0.126156
530330110012,12,0.675922
530330110013,12,0.755027
530330110021,12,0.471361
530330110022,12,1.0
530330110023,12,1.0
530330111014,12,0.338831
530330117002,12,0.006599
530330078001,13,0.073269
530330078002,13,0.01786
530330088002,13,3.7e-05
530330088003,13,0.203684
530330089001,13,0.779416
530330089002,13,1.0
530330089003,13,0.766193
530330089004,13,1.0
530330090001,13,0.348034
530330090002,13,0.315109
530330090003,13,0.841901
530330093001,13,0.353878
530330093003,13,0.057659
530330094001,13,1.0
530330094002,13,1.0
530330094003,13,1.0
530330094004,13,0.997541
530330094005,13,1.0
530330095001,13,0.990675
530330095002,13,1.0
530330095003,13,0.629077
530330095004,13,1.0
530330100011,13,1.0
530330100012,13,0.836021
530330100013,13,1.0
530330100021,13,1.0
530330100022,13,1.0
530330100023,13,1.0
530330101011,13,1.0
530330101012,13,1.0
530330101013,13,1.0
530330101021,13,0.753277
530330101022,13,1.0
530330101023,13,1.0
530330102001,13,0.015637
530330102004,13,0.158905
530330103011,13,0.668986
530330103012,13,0.03024
530330103013,13,0.427729
530330103021,13,1.0
530330103022,13,1.0
530330103023,13,1.0
530330104011,13,0.999662
530330104012,13,0.341997
530330104022,13,0.240644
530330104023,13,0.025154
530330062001,14,0.116217
530330062003,14,0.018424
530330063002,14,0.180796
530330063004,14,0.022944
530330064001,14,1.0
530330064002,14,0.401483
530330064003,14,0.901299
530330065002,14,0.201333
530330073011,14,0.03864
530330073021,14,0.399312
530330073022,14,0.562639
530330074032,14,0.000626
530330074051,14,1.0
530330074052,14,1.0
530330074061,14,0.426126
530330074062,14,1.0
530330075011,14,0.999882
530330075012,14,0.604805
530330075013,14,1.0
530330075021,14,1.0
530330075022,14,1.0
530330075023,14,1.0
530330075031,14,1.0
530330075032,14,1.0
530330076001,14,1.0
530330076002,14,1.0
530330076003,14,1.0
530330077001,14,1.0
530330077002,14,1.0
530330077003,14,1.0
530330077004,14,1.0
530330078001,14,0.538579
530330078002,14,1.0
530330078003,14,1.0
530330078004,14,1.0
530330079011,14,1.0
530330079012,14,1.0
530330079021,14,1.0
530330079022,14,1.0
530330079023,14,1.0
530330081013,14,0.054554
530330081021,14,0.572896
530330081022,14,0.791108
530330082001,14,0.839367
530330082002,14,1.0
530330082003,14,1.0
530330083001,14,1.0
530330083002,14,1.0
530330084011,14,1.0
530330084012,14,1.0
530330084013,14,1.0
530330084021,14,1.0
530330084022,14,1.0
530330084023,14,1.0
530330085001,14,1.0
530330085002,14,1.0
530330085003,14,1.0
530330086001,14,1.0
530330086002,14,1.0
530330086003,14,1.0
530330086004,14,1.0
530330087001,14,1.0
530330087002,14,1.0
530330087003,14,1.0
530330088001,14,1.0
530330088002,14,1.0
530330088003,14,1.0
530330089001,14,0.786947
530330089002,14,1.0
530330089003,14,1.0
530330089004,14,1.0
530330090001,14,1.0
530330090002,14,1.0
530330090003,14,1.0
530330091001,14,1.0
530330091002,14,1.0
530330092001,14,1.0
530330092002,14,0.582612
530330093001,14,0.608149
530330093002,14,0.128908
530330094001,14,0.800073
530330094002,14,0.956067
530330094003,14,0.335201
530330094004,14,1.0
530330094005,14,0.99988
530330095001,14,0.517429
530330095002,14,0.952103
530330095003,14,0.014607
530330095004,14,0.003276
530330100011,14,0.099283
530330100023,14,0.171827
530330026003,15,0.008927
530330027004,15,0.29373
530330028001,15,0.114317
530330028002,15,0.641471
530330028003,15,0.978873
530330029002,15,0.051957
530330033021,15,0.014922
530330033022,15,0.327317
530330034001,15,0.989042
530330034002,15,0.43414
530330034003,15,1.0
530330035001,15,1.0
530330035002,15,1.0
530330035003,15,1.0
530330036011,15,1.0
530330036012,15,1.0
530330036013,15,1.0
530330036021,15,0.315181
530330036022,15,0.773565
530330036023,15,0.567187
530330043021,15,0.026802
530330043022,15,0.872459
530330043023,15,0.606497
530330044011,15,0.300584
530330044012,15,0.296726
530330044013,15,1.0
530330044021,15,1.0
530330044022,15,1.0
530330044023,15,1.0
530330045001,15,1.0
530330045002,15,1.0
530330046001,15,0.890828
530330046002,15,1.0
530330046003,15,1.0
530330047012,15,0.00854
530330047021,15,0.00127
530330047022,15,0.264408
530330047031,15,0.899933
530330047032,15,0.845366
530330047033,15,0.949194
530330048001,15,1.0
530330048002,15,1.0
530330048003,15,1.0
530330048004,15,1.0
530330049011,15,1.0
530330049012,15,1.0
530330049013,15,1.0
530330049021,15,1.0
530330049022,15,1.0
530330050001,15,1.0
530330050002,15,1.0
530330050003,15,1.0
530330051001,15,1.0
530330051002,15,1.0
530330051003,15,1.0
530330052011,15,0.91467
530330052012,15,1.0
530330052013,15,1.0
530330052021,15,1.0
530330052022,15,1.0
530330052023,15,1.0
530330053031,15,0.727223
530330053032,15,0.318728
530330053041,15,1.0
530330053042,15,1.0
530330053051,15,1.0
530330053052,15,1.0
530330053061,15,1.0
530330053062,15,1.0
530330053071,15,1.0
530330053072,15,1.0
530330053073,15,1.0
530330054011,15,1.0
530330054012,15,0.608331
530330054013,15,0.893095
530330054021,15,1.0
530330054022,15,1.0
530330054023,15,1.0
530330059011,15,0.110569
530330060001,15,0.007592
530330060002,15,0.012168
530330060004,15,0.081348
530330061001,15,0.129466
530330061002,15,0.000134
530330061004,15,0.005948
530330010002,17,0.066509
530330011002,17,0.193602
530330012021,17,0.000187
530330012022,17,0.33402
530330018001,17,0.204555
530330018002,17,0.000105
530330019001,17,0.899668
530330019002,17,0.869336
530330019004,17,0.030365
530330020001,17,1.0
530330020002,17,0.999986
530330020003,17,1.0
530330021001,17,0.206362
530330021002,17,0.914342
530330021003,17,1.0
530330022003,17,0.020974
530330022004,17,2e-05
530330024001,17,0.511905
530330024002,17,0.95433
530330025001,17,1.0
530330025002,17,1.0
530330026001,17,1.0
530330026002,17,1.0
530330026003,17,1.0
530330026004,17,1.0
530330027001,17,1.0
530330027002,17,1.0
530330027003,17,1.0
530330027004,17,0.922869
530330028001,17,0.007234
530330028002,17,0.005072
530330028003,17,0.000801
530330028004,17,0.002849
530330036011,17,1.0
530330036012,17,1.0
530330036013,17,1.0
530330036021,17,1.0
530330036022,17,1.0
530330036023,17,1.0
530330038001,17,1.0
530330038002,17,1.0
530330039001,17,1.0
530330039002,17,0.782533
530330040002,17,0.183605
530330041013,17,0.343185
530330042011,17,0.191724
530330042012,17,0.398824
530330042013,17,0.999893
530330042021,17,0.948001
530330042022,17,1.0
530330042023,17,1.0
530330043011,17,1.0
530330043012,17,1.0
530330043013,17,1.0
530330043021,17,1.0
530330043022,17,1.0
530330043023,17,1.0
530330044011,17,1.0
530330044012,17,1.0
530330044013,17,1.0
530330044021,17,1.0
530330044022,17,1.0
530330044023,17,1.0
530330045001,17,1.0
530330045002,17,1.0
530330046001,17,0.373668
530330046002,17,1.0
530330046003,17,1.0
530330050001,17,0.084069
530330051001,17,0.820602
530330051002,17,0.079609
530330052011,17,0.545676
530330052012,17,1.0
530330052013,17,1.0
530330052021,17,1.0
530330052022,17,0.735351
530330052023,17,1.0
530330053031,17,0.259897
530330053032,17,0.565536
530330053041,17,1.0
530330053042,17,1.0
530330053051,17,1.0
530330053052,17,1.0
530330053061,17,1.0
530330053062,17,1.0
530330053071,17,1.0
530330053072,17,1.0
530330053073,17,1.0
530330106011,18,0.000112
530330106012,18,0.37863
530330106013,18,0.902552
530330106021,18,0.053708
530330107011,18,1.0
530330107012,18,1.0
530330107013,18,0.676446
530330107021,18,0.497692
530330107022,18,1.0
530330107023,18,1.0
530330108001,18,0.349256
530330108002,18,1.0
530330108003,18,0.186329
530330113001,18,0.47606
530330113002,18,0.999788
530330113003,18,1.0
530330113004,18,1.0
530330113005,18,1.0
530330114011,18,1.0
530330114012,18,1.0
530330114013,18,1.0
530330114021,18,1.0
530330114022,18,0.999846
530330114023,18,0.999996
530330115001,18,1.0
530330115002,18,1.0
530330115003,18,1.0
530330116011,18,0.9902
530330116012,18,0.839626
530330116021,18,1.0
530330116022,18,1.0
530330116023,18,0.109417
530330120001,18,0.998109
530330120002,18,0.349879
530330120003,18,0.494892
530330121001,18,0.00304
530330121002,18,0.078895
530330265001,18,0.160803
530330265002,18,0.013836
530330266001,18,0.618039
530330266002,18,8.6e-05
530330267004,18,0.004125
530330096001,19,1.0
530330096002,19,0.608712
530330096003,19,1.0
530330096004,19,1.0
530330097011,19,0.49941
530330097012,19,0.514342
530330097013,19,0.701291
530330097014,19,0.7474
530330097021,19,1.0
530330097022,19,1.0
530330097023,19,0.999855
530330097024,19,1.0
530330098011,19,1.0
530330098012,19,1.0
530330098013,19,1.0
530330098021,19,1.0
530330098022,19,1.0
530330098023,19,1.0
530330099001,19,0.999991
530330099002,19,0.798398
530330099004,19,0.10003
530330105011,19,1.0
530330105012,19,0.943159
530330105013,19,1.0
530330105021,19,1.0
530330105022,19,0.784274
530330105023,19,1.0
530330105024,19,1.0
530330106011,19,0.249724
530330002011,20,0.999992
530330002012,20,0.811894
530330002013,20,1.0
530330002022,20,0.166785
530330002023,20,0.041798
530330003001,20,0.999998
530330003002,20,0.999997
530330004021,20,1.0
530330004022,20,0.999955
530330004023,20,0.919574
530330004024,20,1.0
530330004031,20,0.999993
530330004032,20,1.0
530330004041,20,0.999998
530330004042,20,1.0
530330004043,20,1.0
530330005001,20,0.321597
530330005002,20,0.443539
530330006011,20,1.0
530330006012,20,1.0
530330006013,20,0.999931
530330006021,20,1.0
530330006022,20,1.0
530330006023,20,0.999888
530330007001,20,0.685326
530330007002,20,0.104263
530330012011,20,0.999679
530330012012,20,1.0
530330012013,20,0.86864
530330012021,20,0.250915
530330012023,20,0.000297
530330013001,20,0.101801
530330013002,20,0.302691
530330014001,20,0.499141
530330014002,20,0.039236
530330019003,20,4e-06
530330209002,20,0.232158
530330209003,20,0.016872
530330210001,20,0.466065
530330210002,20,0.535252
530330210003,20,0.301839
530330211002,20,0.238438
530330211003,20,0.207359
530330102002,21,0.187908
530330102003,21,0.285098
530330103012,21,0.000231
530330110011,21,1.0
530330110012,21,0.388652
530330110013,21,0.789442
530330110021,21,0.082787
530330110023,21,0.193274
530330111011,21,1.0
530330111012,21,1.0
530330111013,21,1.0
530330111014,21,0.609509
530330111021,21,0.804355
530330111022,21,1.0
530330111023,21,1.0
530330111024,21,1.0
530330117001,21,1.0
530330117002,21,0.699553
530330117003,21,1.0
530330117004,21,1.0
530330118011,21,0.83261
530330118012,21,1.0
530330118013,21,1.0
530330118021,21,1.0
530330118022,21,0.758967
530330118023,21,1.0
530330119011,21,1.0
530330119012,21,0.999654
530330119013,21,0.08548
530330119021,21,1.0
530330119022,21,0.564581
530330119023,21,1.0
530330260011,21,0.800609
530330261021,21,1.0
530330263001,21,0.294176
530330001011,22,1.0
530330001012,22,0.999999
530330001013,22,1.0
530330001021,22,0.574979
530330001022,22,1.0
530330001023,22,1.0
530330002011,22,2.2e-05
530330002012,22,0.695007
530330002013,22,0.691709
530330002021,22,0.917055
530330002022,22,1.0
530330002023,22,0.445184
530330006011,22,1.0
530330006012,22,0.166004
530330006013,22,0.899762
530330007001,22,1.0
530330007002,22,1.0
530330007003,22,1.0
530330007004,22,1.0
530330008001,22,1.0
530330008002,22,1.0
530330009001,22,1.0
530330009002,22,0.610409
530330010001,22,1.0
530330010002,22,1.0
530330011001,22,1.0
530330011002,22,1.0
530330012011,22,1.0
530330012012,22,0.404704
530330012013,22,0.381715
530330012021,22,1.0
530330012022,22,1.0
530330012023,22,0.999916
530330019001,22,0.502028
530330019003,22,0.504078
530330019004,22,0.120654
530330020001,22,1.0
530330020002,22,1.0
530330020003,22,0.862493
530330021001,22,1.0
530330021002,22,1.0
530330021003,22,1.0
530330022001,22,1.0
530330022002,22,1.0
530330022003,22,0.72704
530330024001,22,0.768706
530330024002,22,0.516778
530330025001,22,0.618116
530330026001,22,0.800228
530330026004,22,0.134161
530330213001,22,0.140408
530330213002,22,0.084387
530330062001,23,0.221835
530330062003,23,0.111523
530330063002,23,0.213478
530330063004,23,0.128021
530330064001,23,1.0
530330064002,23,0.57807
530330064003,23,0.948729
530330065001,23,4e-05
530330065002,23,0.508122
530330073011,23,0.118479
530330073012,23,0.000192
530330073021,23,0.399441
530330073022,23,0.802314
530330073023,23,3.9e-05
530330073032,23,0.000242
530330074031,23,0.000564
530330074032,23,0.679513
530330074042,23,0.000436
530330074051,23,1.0
530330074052,23,1.0
530330074061,23,0.974386
530330074062,23,1.0
530330075011,23,1.0
530330075012,23,0.901176
530330075013,23,1.0
530330075021,23,1.0
530330075022,23,1.0
530330075023,23,1.0
530330075031,23,1.0
530330075032,23,1.0
530330076001,23,1.0
530330076002,23,1.0
530330076003,23,1.0
530330077001,23,1.0
530330077002,23,1.0
530330077003,23,1.0
530330077004,23,1.0
530330078001,23,0.66897
530330078002,23,1.0
530330078003,23,1.0
530330078004,23,1.0
530330079011,23,1.0
530330079012,23,1.0
530330079021,23,1.0
530330079022,23,1.0
530330079023,23,1.0
530330081012,23,0.000226
530330081013,23,0.105093
530330081021,23,0.568806
530330081022,23,0.740174
530330082001,23,0.944667
530330082002,23,1.0
530330082003,23,1.0
530330083001,23,1.0
530330083002,23,1.0
530330084011,23,1.0
530330084012,23,1.0
530330084013,23,1.0
530330084021,23,1.0
530330084022,23,1.0
530330084023,23,1.0
530330085001,23,1.0
530330085002,23,1.0
530330085003,23,1.0
530330086001,23,1.0
530330086002,23,1.0
530330086003,23,1.0
530330086004,23,1.0
530330087001,23,1.0
530330087002,23,1.0
530330087003,23,1.0
530330088001,23,1.0
530330088002,23,1.0
530330088003,23,1.0
530330089001,23,0.786947
530330089002,23,1.0
530330089003,23,1.0
530330089004,23,1.0
530330090001,23,1.0
530330090002,23,1.0
530330090003,23,1.0
530330091001,23,1.0
530330091002,23,0.999999
530330092001,23,1.0
530330092002,23,0.507695
530330093001,23,0.274087
530330093002,23,0.036596
530330094001,23,0.295911
530330094002,23,0.652383
530330094004,23,1.0
530330094005,23,0.714063
530330095001,23,0.413005
530330095002,23,0.894563
530330095003,23,0.007248
530330095004,23,1.8e-05
530330100011,23,3.7e-05
530330070023,24,0.00015
530330071011,24,0.000672
530330071012,24,0.692796
530330072032,24,0.000173
530330106011,103,0.199494
530330106012,103,0.666404
530330106013,103,0.989164
530330106021,103,0.3128
530330107011,103,1.0
530330107012,103,1.0
530330107013,103,0.452798
530330107021,103,6.8e-05
530330107022,103,0.000528
530330107023,103,0.765926
530330108001,103,0.295443
530330108002,103,1.0
530330108003,103,0.295913
530330113001,103,0.495518
530330113002,103,0.999829
530330113003,103,1.0
530330113004,103,1.0
530330113005,103,1.0
530330114011,103,1.0
530330114012,103,1.0
530330114013,103,1.0
530330114021,103,1.0
530330114022,103,0.999846
530330114023,103,0.999996
530330115001,103,1.0
530330115002,103,1.0
530330115003,103,1.0
530330116011,103,1.0
530330116012,103,0.892882
530330116021,103,1.0
530330116022,103,1.0
530330116023,103,0.438676
530330120001,103,0.998141
530330120002,103,0.487562
530330120003,103,0.675728
530330121001,103,0.063652
530330121002,103,0.114635
530330265001,103,0.195682
530330265002,103,0.07168
530330266001,103,0.618039
530330266002,103,5.4e-05
530330267004,103,0.003676
530330008002,104,0.152038
530330009002,104,0.178398
530330010001,104,0.003805
530330010002,104,0.855715
530330011001,104,0.047105
530330011002,104,0.423061
530330012022,104,0.006637
530330019001,104,0.598295
530330019002,104,0.186941
530330020001,104,1.0
530330020002,104,0.827277
530330020003,104,1.0
530330021001,104,1.0
530330021002,104,1.0
530330021003,104,1.0
530330022001,104,0.765435
530330022002,104,1.0
530330022003,104,0.591097
530330022004,104,0.785592
530330024001,104,1.0
530330024002,104,1.0
530330025001,104,1.0
530330025002,104,1.0
530330026001,104,1.0
530330026002,104,1.0
530330026003,104,1.0
530330026004,104,1.0
530330027001,104,1.0
530330027002,104,0.933553
530330027003,104,0.115114
530330036011,104,0.908185
530330036012,104,0.221252
530330036013,104,0.96713
530330036021,104,1.0
530330036022,104,1.0
530330036023,104,1.0
530330038001,104,1.0
530330038002,104,1.0
530330039001,104,1.0
530330039002,104,1.0
530330040001,104,0.175287
530330040002,104,1.0
530330041013,104,0.348981
530330041021,104,3.2e-05
530330041022,104,0.519531
530330041023,104,0.095317
530330042011,104,0.949586
530330042012,104,1.0
530330042013,104,1.0
530330042021,104,1.0
530330042022,104,1.0
530330042023,104,1.0
530330043011,104,1.0
