draw,program,base_riders,scen_riders,d_riders,base_dist_mean,base_dist_p50,base_dist_p90,scen_dist_mean,scen_dist_p50,scen_dist_p90
35,basic,10008.5,12696.3514,2687.8514,1.5669,1.259,2.8156,1.8026,1.5217,3.0979
35,gifted,1315.5,1315.5,0.0,,,,,,
36,basic,10008.5,12724.2853,2715.7853,1.6067,1.2895,2.8465,1.8461,1.5518,3.1881
36,gifted,1315.5,1315.5,0.0,,,,,,
37,basic,10008.5,12831.0521,2822.5521,1.5646,1.259,2.8156,1.7858,1.5292,3.0849
37,gifted,1315.5,1315.5,0.0,,,,,,
38,basic,10008.5,12897.8568,2889.3568,1.5454,1.2527,2.7856,1.7858,1.5229,3.0849
38,gifted,1315.5,1315.5,0.0,,,,,,
39,basic,10008.5,12896.9538,2888.4538,1.5806,1.2898,2.8248,1.8075,1.5623,3.0967
39,gifted,1315.5,1315.5,0.0,,,,,,
40,basic,10008.5,12648.261,2639.761,1.5327,1.2529,2.7555,1.7668,1.496,3.0491
40,gifted,1315.5,1315.5,0.0,,,,,,
41,basic,10008.5,12884.0781,2875.5781,1.5373,1.2578,2.7634,1.7647,1.5225,3.0407
41,gifted,1315.5,1315.5,0.0,,,,,,
42,basic,10008.5,12731.157,2722.657,1.571,1.2763,2.8153,1.8006,1.5365,3.0957
42,gifted,1315.5,1315.5,0.0,,,,,,
43,basic,10008.5,12616.7415,2608.2415,1.4574,1.1988,2.5871,1.6686,1.4257,2.893
43,gifted,1315.5,1315.5,0.0,,,,,,
44,basic,10008.5,12780.5802,2772.0802,1.6012,1.304,2.846,1.8325,1.571,3.1203
44,gifted,1315.5,1315.5,0.0,,,,,,
45,basic,10008.5,12657.5228,2649.0228,1.5597,1.259,2.7992,1.7794,1.5051,3.0612
45,gifted,1315.5,1315.5,0.0,,,,,,
46,basic,10008.5,12821.1909,2812.6909,1.5821,1.27,2.8433,1.8187,1.5447,3.1158
46,gifted,1315.5,1315.5,0.0,,,,,,
47,basic,10008.5,12682.8616,2674.3616,1.5226,1.2299,2.719,1.7364,1.4873,2.9919
47,gifted,1315.5,1315.5,0.0,,,,,,
48,basic,10008.5,12699.5207,2691.0207,1.5701,1.2701,2.8157,1.7898,1.5232,3.0854
48,gifted,1315.5,1315.5,0.0,,,,,,
49,basic,10008.5,12888.1085,2879.6085,1.6066,1.3068,2.8464,1.832,1.5764,3.1222
49,gifted,1315.5,1315.5,0.0,,,,,,
50,basic,10008.5,12706.673,2698.173,1.5519,1.259,2.7857,1.7738,1.5179,3.0493
50,gifted,1315.5,1315.5,0.0,,,,,,
51,basic,10008.5,12693.3317,2684.8317,1.5625,1.2585,2.8154,1.8062,1.5209,3.1013
51,gifted,1315.5,1315.5,0.0,,,,,,
52,basic,10008.5,12753.421,2744.921,1.5297,1.2355,2.7454,1.7508,1.4934,3.0244
52,gifted,1315.5,1315.5,0.0,,,,,,
53,basic,10008.5,12853.3429,2844.8429,1.5591,1.259,2.7994,1.7883,1.5292,3.0837
53,gifted,1315.5,1315.5,0.0,,,,,,
54,basic,10008.5,12838.7413,2830.2413,1.5647,1.259,2.8113,1.7877,1.5324,3.069
54,gifted,1315.5,1315.5,0.0,,,,,,
55,basic,10008.5,12624.6086,2616.1086,1.5935,1.2904,2.8459,1.8226,1.5442,3.1163
55,gifted,1315.5,1315.5,0.0,,,,,,
56,basic,10008.5,12837.4563,2828.9563,1.5477,1.2529,2.7856,1.7625,1.5107,3.0316
56,gifted,1315.5,1315.5,0.0,,,,,,
57,basic,10008.5,12806.6373,2798.1373,1.5644,1.259,2.8094,1.7873,1.5292,3.0677
57,gifted,1315.5,1315.5,0.0,,,,,,
58,basic,10008.5,13036.9097,3028.4097,1.575,1.2815,2.8421,1.8247,1.5731,3.1208
58,gifted,1315.5,1315.5,0.0,,,,,,
59,basic,10008.5,13023.9041,3015.4041,1.5506,1.259,2.7858,1.7769,1.5483,3.0548
59,gifted,1315.5,1315.5,0.0,,,,,,
60,basic,10008.5,12808.8564,2800.3564,1.5887,1.2748,2.846,1.8327,1.5462,3.1465
60,gifted,1315.5,1315.5,0.0,,,,,,
61,basic,10008.5,12558.5203,2550.0203,1.5635,1.259,2.8094,1.783,1.5028,3.0612
61,gifted,1315.5,1315.5,0.0,,,,,,
62,basic,10008.5,12724.1223,2715.6223,1.5428,1.2472,2.7855,1.773,1.4934,3.0611
62,gifted,1315.5,1315.5,0.0,,,,,,
63,basic,10008.5,12728.5569,2720.0569,1.5392,1.2527,2.7748,1.7585,1.5024,3.0406
63,gifted,1315.5,1315.5,0.0,,,,,,
64,basic,10008.5,12772.5468,2764.0468,1.602,1.3066,2.8461,1.8363,1.5688,3.1203
64,gifted,1315.5,1315.5,0.0,,,,,,
65,basic,10008.5,12557.5798,2549.0798,1.516,1.2299,2.7121,1.7369,1.4739,2.9922
65,gifted,1315.5,1315.5,0.0,,,,,,
66,basic,10008.5,13085.9447,3077.4447,1.5767,1.2872,2.8206,1.8049,1.5769,3.0885
66,gifted,1315.5,1315.5,0.0,,,,,,
67,basic,10008.5,12767.5837,2759.0837,1.6129,1.3067,2.8466,1.849,1.5732,3.1817
67,gifted,1315.5,1315.5,0.0,,,,,,
68,basic,10008.5,12870.5669,2862.0669,1.5769,1.2872,2.8206,1.8136,1.5622,3.0981
68,gifted,1315.5,1315.5,0.0,,,,,,
69,basic,10008.5,12519.8592,2511.3592,1.5082,1.2252,2.712,1.7174,1.4545,2.9832
69,gifted,1315.5,1315.5,0.0,,,,,,
70,basic,10008.5,12765.663,2757.163,1.5373,1.2529,2.7775,1.7743,1.5053,3.062
70,gifted,1315.5,1315.5,0.0,,,,,,
71,basic,10008.5,12782.1319,2773.6319,1.5238,1.2457,2.7449,1.7486,1.4934,3.0279
71,gifted,1315.5,1315.5,0.0,,,,,,
72,basic,10008.5,12815.3628,2806.8628,1.5553,1.2585,2.7994,1.7918,1.5235,3.0883
72,gifted,1315.5,1315.5,0.0,,,,,,
73,basic,10008.5,12824.2615,2815.7615,1.6077,1.304,2.8465,1.8466,1.5713,3.1555
73,gifted,1315.5,1315.5,0.0,,,,,,
74,basic,10008.5,12921.895,2913.395,1.6337,1.3347,2.8934,1.8798,1.6018,3.2665
74,gifted,1315.5,1315.5,0.0,,,,,,
75,basic,10008.5,12886.254,2877.754,1.5766,1.259,2.846,1.8161,1.5447,3.116
75,gifted,1315.5,1315.5,0.0,,,,,,
76,basic,10008.5,12740.6549,2732.1549,1.5926,1.2826,2.846,1.8288,1.5483,3.1221
76,gifted,1315.5,1315.5,0.0,,,,,,
77,basic,10008.5,12627.4156,2618.9156,1.4978,1.2231,2.6631,1.7186,1.4543,2.9832
77,gifted,1315.5,1315.5,0.0,,,,,,
78,basic,10008.5,12793.3122,2784.8122,1.5806,1.2894,2.8243,1.8118,1.5483,3.1007
78,gifted,1315.5,1315.5,0.0,,,,,,
79,basic,10008.5,12711.597,2703.097,1.5374,1.2486,2.781,1.7583,1.5012,3.0407
79,gifted,1315.5,1315.5,0.0,,,,,,
80,basic,10008.5,12749.9003,2741.4003,1.5445,1.2529,2.7854,1.7857,1.5054,3.0882
80,gifted,1315.5,1315.5,0.0,,,,,,
81,basic,10008.5,12895.4706,2886.9706,1.6066,1.304,2.8462,1.8357,1.5766,3.117
81,gifted,1315.5,1315.5,0.0,,,,,,
82,basic,10008.5,12885.7656,2877.2656,1.5757,1.2657,2.8185,1.8125,1.5481,3.1005
82,gifted,1315.5,1315.5,0.0,,,,,,
83,basic,10008.5,12825.7858,2817.2858,1.5408,1.2473,2.7775,1.7783,1.5051,3.082
83,gifted,1315.5,1315.5,0.0,,,,,,
84,basic,10008.5,12861.7506,2853.2506,1.5625,1.2529,2.8152,1.8012,1.5223,3.0976
84,gifted,1315.5,1315.5,0.0,,,,,,
85,basic,10008.5,12700.4761,2691.9761,1.539,1.2493,2.7558,1.7578,1.4976,3.0406
85,gifted,1315.5,1315.5,0.0,,,,,,
86,basic,10008.5,12719.7972,2711.2972,1.5361,1.2527,2.7643,1.7542,1.5024,3.0318
86,gifted,1315.5,1315.5,0.0,,,,,,
87,basic,10008.5,12550.9049,2542.4049,1.5221,1.2252,2.7201,1.7416,1.4676,3.0055
87,gifted,1315.5,1315.5,0.0,,,,,,
88,basic,10008.5,12704.0801,2695.5801,1.5498,1.2527,2.8038,1.7912,1.5053,3.0946
88,gifted,1315.5,1315.5,0.0,,,,,,
89,basic,10008.5,12697.1934,2688.6934,1.5347,1.2478,2.7675,1.7522,1.4935,3.0263
89,gifted,1315.5,1315.5,0.0,,,,,,
90,basic,10008.5,12795.6246,2787.1246,1.5833,1.2904,2.8298,1.812,1.5518,3.098
90,gifted,1315.5,1315.5,0.0,,,,,,
91,basic,10008.5,12734.5148,2726.0148,1.5909,1.2814,2.846,1.8185,1.5385,3.1162
91,gifted,1315.5,1315.5,0.0,,,,,,
92,basic,10008.5,12800.1375,2791.6375,1.5122,1.2252,2.722,1.7432,1.4773,3.0279
92,gifted,1315.5,1315.5,0.0,,,,,,
93,basic,10008.5,12818.7858,2810.2858,1.5378,1.2472,2.7562,1.7481,1.5051,2.9936
93,gifted,1315.5,1315.5,0.0,,,,,,
94,basic,10008.5,12911.9478,2903.4478,1.5732,1.2872,2.8155,1.8072,1.5623,3.0976
94,gifted,1315.5,1315.5,0.0,,,,,,
95,basic,10008.5,12709.2089,2700.7089,1.5436,1.2554,2.7633,1.7612,1.5052,3.0395
95,gifted,1315.5,1315.5,0.0,,,,,,
96,basic,10008.5,13006.9291,2998.4291,1.6059,1.2865,2.8464,1.8347,1.574,3.1221
96,gifted,1315.5,1315.5,0.0,,,,,,
97,basic,10008.5,12848.2434,2839.7434,1.6138,1.3039,2.8466,1.8476,1.5741,3.1608
97,gifted,1315.5,1315.5,0.0,,,,,,
98,basic,10008.5,12695.746,2687.246,1.5237,1.2347,2.7424,1.7518,1.4797,3.0406
98,gifted,1315.5,1315.5,0.0,,,,,,
99,basic,10008.5,12628.1702,2619.6702,1.5879,1.2897,2.842,1.8266,1.5448,3.1162
99,gifted,1315.5,1315.5,0.0,,,,,,
100,basic,10008.5,12743.2078,2734.7078,1.57,1.2539,2.8206,1.8075,1.5089,3.1102
100,gifted,1315.5,1315.5,0.0,,,,,,
101,basic,10008.5,12785.8313,2777.3313,1.5174,1.2233,2.722,1.7516,1.477,3.0355
101,gifted,1315.5,1315.5,0.0,,,,,,
102,basic,10008.5,12927.55,2919.05,1.5778,1.259,2.8157,1.805,1.5377,3.0979
102,gifted,1315.5,1315.5,0.0,,,,,,
103,basic,10008.5,12805.2587,2796.7587,1.529,1.2252,2.7555,1.7634,1.4922,3.0492
103,gifted,1315.5,1315.5,0.0,,,,,,
104,basic,10008.5,12915.2051,2906.7051,1.5573,1.259,2.7994,1.7801,1.5446,3.061
104,gifted,1315.5,1315.5,0.0,,,,,,
105,basic,10008.5,12631.5031,2623.0031,1.5132,1.2251,2.6857,1.7351,1.4618,2.9919
105,gifted,1315.5,1315.5,0.0,,,,,,
106,basic,10008.5,12750.0236,2741.5236,1.5402,1.2529,2.7854,1.7753,1.5053,3.066
106,gifted,1315.5,1315.5,0.0,,,,,,
107,basic,10008.5,12650.7277,2642.2277,1.5693,1.259,2.8156,1.8055,1.5068,3.0979
107,gifted,1315.5,1315.5,0.0,,,,,,
108,basic,10008.5,12974.8669,2966.3669,1.6095,1.304,2.8581,1.86,1.5874,3.1985
108,gifted,1315.5,1315.5,0.0,,,,,,
109,basic,10008.5,12913.3047,2904.8047,1.562,1.259,2.8153,1.785,1.5442,3.0613
109,gifted,1315.5,1315.5,0.0,,,,,,
110,basic,10008.5,13039.768,3031.268,1.589,1.259,2.846,1.8334,1.5677,3.1401
110,gifted,1315.5,1315.5,0.0,,,,,,
111,basic,10008.5,12945.3796,2936.8796,1.6025,1.3067,2.8462,1.8302,1.5858,3.1145
111,gifted,1315.5,1315.5,0.0,,,,,,
112,basic,10008.5,12893.3691,2884.8691,1.5683,1.259,2.7926,1.7899,1.5445,3.0775
112,gifted,1315.5,1315.5,0.0,,,,,,
113,basic,10008.5,12765.1991,2756.6991,1.6266,1.3281,2.8623,1.8558,1.5845,3.188
113,gifted,1315.5,1315.5,0.0,,,,,,
114,basic,10008.5,12935.9347,2927.4347,1.5672,1.259,2.8131,1.8015,1.5443,3.0886
114,gifted,1315.5,1315.5,0.0,,,,,,
115,basic,10008.5,12799.3354,2790.8354,1.5445,1.2566,2.7855,1.7676,1.5217,3.0484
115,gifted,1315.5,1315.5,0.0,,,,,,
116,basic,10008.5,12982.2,2973.7,1.5865,1.2748,2.8459,1.8363,1.5678,3.1499
116,gifted,1315.5,1315.5,0.0,,,,,,
117,basic,10008.5,12984.0036,2975.5036,1.5929,1.2898,2.8463,1.8409,1.5797,3.1608
117,gifted,1315.5,1315.5,0.0,,,,,,
118,basic,10008.5,12907.1369,2898.6369,1.5364,1.2527,2.7855,1.7577,1.5179,3.0374
118,gifted,1315.5,1315.5,0.0,,,,,,
119,basic,10008.5,12832.7749,2824.2749,1.5223,1.2274,2.7547,1.7645,1.4934,3.0503
119,gifted,1315.5,1315.5,0.0,,,,,,
120,basic,10008.5,12771.8659,2763.3659,1.5161,1.2415,2.7221,1.7395,1.4922,2.9922
120,gifted,1315.5,1315.5,0.0,,,,,,
121,basic,10008.5,12716.3169,2707.8169,1.5264,1.2392,2.7423,1.7522,1.4918,3.0355
121,gifted,1315.5,1315.5,0.0,,,,,,
122,basic,10008.5,12943.4516,2934.9516,1.5721,1.259,2.8158,1.8015,1.5363,3.0946
122,gifted,1315.5,1315.5,0.0,,,,,,
123,basic,10008.5,12792.0152,2783.5152,1.5386,1.2527,2.7775,1.7675,1.5052,3.0491
123,gifted,1315.5,1315.5,0.0,,,,,,
124,basic,10008.5,12705.9798,2697.4798,1.5634,1.2528,2.8094,1.7979,1.5052,3.0977
124,gifted,1315.5,1315.5,0.0,,,,,,
125,basic,10008.5,12542.0087,2533.5087,1.5071,1.2186,2.6631,1.724,1.4466,2.984
125,gifted,1315.5,1315.5,0.0,,,,,,
126,basic,10008.5,12644.2316,2635.7316,1.5457,1.2529,2.7775,1.7673,1.5023,3.0484
126,gifted,1315.5,1315.5,0.0,,,,,,
127,basic,10008.5,12740.0367,2731.5367,1.5623,1.259,2.8093,1.7781,1.5228,3.0551
127,gifted,1315.5,1315.5,0.0,,,,,,
128,basic,10008.5,12896.8692,2888.3692,1.5276,1.2527,2.745,1.7437,1.5066,3.0055
128,gifted,1315.5,1315.5,0.0,,,,,,
129,basic,10008.5,12446.3822,2437.8822,1.5027,1.2241,2.6631,1.7079,1.4466,2.9645
129,gifted,1315.5,1315.5,0.0,,,,,,
130,basic,10008.5,12813.9221,2805.4221,1.55,1.2529,2.7902,1.7898,1.5216,3.0886
130,gifted,1315.5,1315.5,0.0,,,,,,
131,basic,10008.5,12846.1508,2837.6508,1.5642,1.2585,2.8094,1.7927,1.5292,3.0858
131,gifted,1315.5,1315.5,0.0,,,,,,
132,basic,10008.5,12770.9943,2762.4943,1.5569,1.259,2.7998,1.8006,1.5233,3.0979
132,gifted,1315.5,1315.5,0.0,,,,,,
133,basic,10008.5,12976.5723,2968.0723,1.5741,1.259,2.8421,1.8227,1.5504,3.1221
133,gifted,1315.5,1315.5,0.0,,,,,,
134,basic,10008.5,12722.7697,2714.2697,1.5653,1.2814,2.8094,1.792,1.5292,3.0851
