draw,rho,decay_mi,beta_ms,beta_low_income,beta_swd,beta_absent,p_max,gifted_propensity,scale
0,0.8500000000000001,5.1138717576687815,0.1532062636485818,0.2857936520227197,5.723939750329531,0.07063421303316314,0.95,0.9202575427009304,0.829718291591106
1,0.8500000000000001,5.0097479295929634,0.21559412945733955,0.234348168971917,5.773816154474341,0.10325452695489257,0.95,0.9170287900522401,0.8359524478659104
2,0.8500000000000001,3.838217311177687,0.01629436376343524,0.3081197739972825,5.608468457222505,0.0830762316432335,0.95,0.9172711951913649,0.8991940687007857
3,0.8500000000000001,4.870946231875934,0.026023461102551788,0.30227833464306886,4.819768657617788,0.12664297366974622,0.95,0.9184814917354471,0.8389362729072423
4,0.8500000000000001,4.950250278161796,0.06311137204602109,0.23721669247942706,4.396529061717213,0.027308131842222427,0.95,0.9165942032957484,0.8371283174911638
5,0.8500000000000001,4.48394268039003,0.16944855555891772,0.25220455213949,7.3006090278550495,-0.03501473825036537,0.95,0.9176514992992272,0.8643229982801155
6,0.8500000000000001,4.795029045910818,0.08180049170610508,0.3062864769329185,6.694416079692277,0.06133295911296242,0.95,0.9198564472348172,0.8451151461826135
7,0.8500000000000001,3.5983703740537782,0.03530940128380615,0.2950098327628752,5.965476614737754,-0.0034808524229783125,0.95,0.9171136843432992,0.916901475521453
8,0.8500000000000001,5.242107379662705,0.2587687240009527,0.31686268064696593,5.018504986526443,0.10580785770175923,0.95,0.9168633392835586,0.8226702386141412
9,0.8500000000000001,4.829568475174141,0.19313167233100934,0.3565906485592552,5.894934076383436,0.04295929538855214,0.95,0.919646604179242,0.8404119873841926
10,0.8500000000000001,5.083303040010662,0.046566273495647986,0.2425628929523143,5.268652224226039,0.041879071467727166,0.95,0.9193823420175421,0.829965398516945
11,0.8500000000000001,5.513930379277837,0.16949193790806016,0.30944247804170444,6.4126557686152905,0.07662376672219029,0.95,0.9185272471196446,0.8162268827297313
12,0.8500000000000001,4.379906205938001,0.18520268560783618,0.3837625437873463,5.801667855891626,0.10645247443035301,0.95,0.9174106126368533,0.8677279535289288
13,0.8500000000000001,4.370081152480555,0.17093216285932747,0.2227563464491185,3.66689208408409,0.0434124623439068,0.95,0.917064886650457,0.865002911983384
14,0.8500000000000001,3.5289877330163915,0.08576216416475967,0.19072290523679536,4.274549270685603,0.0675471960631138,0.95,0.9197574577920554,0.9236149727346287
15,0.8500000000000001,5.142789236533066,0.12559602584963378,0.2351836663818265,5.758198323528388,0.025312633373562342,0.95,0.9185411785613591,0.8290130898202306
16,0.8500000000000001,6.281102147251295,0.12067344987029943,0.282116434870806,5.562757307716399,0.07568978559025522,0.95,0.9183939310122591,0.7960345454057808
17,0.8500000000000001,4.93367238936422,0.0777220106074277,0.25184035193611237,4.784835049458254,0.0765379696280357,0.95,0.9182308131534256,0.8372746481631883
18,0.8500000000000001,4.88195203551948,0.06515784924659138,0.28944975059505,2.8869964922158453,0.15241597237008894,0.95,0.9207801621364041,0.8442443743846157
19,0.8500000000000001,5.343562804526806,0.10616873052193096,0.3620636217959189,7.2062642938769255,0.12144801216060985,0.95,0.9152786944486632,0.8185496833683266
20,0.8500000000000001,4.07568781293074,0.16215734656881056,0.3227385822199525,4.0673479278326035,0.07214333247459724,0.95,0.9174300338235183,0.8887188803737283
21,0.8500000000000001,4.029007732957442,0.1665208945423189,0.40987144319737073,6.887354767423801,-0.04744138518722714,0.95,0.9187648581490422,0.8885130895639195
22,0.8500000000000001,4.702268143267615,0.1444803004157144,0.3497004197257452,4.0528780354677565,0.13004421886671144,0.95,0.9198050735921706,0.848980669171181
23,0.8500000000000001,4.080436769461126,0.19394777736557442,0.3629004932378539,4.626774861204935,0.09833056406051147,0.95,0.9133890520385063,0.8830428660061828
24,0.8500000000000001,4.878601222566084,0.1999771127364304,0.30521504177098074,5.403879295921349,-0.00516855171698735,0.95,0.917298705390074,0.8441557065243315
25,0.8500000000000001,3.6674682401007415,0.09088069466213682,0.2725975904168239,5.874700888292174,0.09373647255674143,0.95,0.9201989650898722,0.9153625105738432
26,0.8500000000000001,5.425195592305975,0.17098449640997734,0.320302394203586,4.863149373878754,0.018534745124641698,0.95,0.9199212061543429,0.815897387741835
27,0.8500000000000001,3.721106223944134,0.09620011083619155,0.34981229162220573,5.694301855330739,0.015960214061018132,0.95,0.9181836830427972,0.9142460280105328
28,0.8500000000000001,4.038264955410799,0.10081065174488575,0.36293348357785915,6.719894344741489,0.10445259246560043,0.95,0.9185992213018903,0.8865829193353552
29,0.8500000000000001,5.526476792831292,0.01279376088947805,0.31908078223417197,6.301563773192745,0.06369529938052311,0.95,0.917974740767811,0.8130479978665045
30,0.8500000000000001,3.788021733119765,0.08239475685760102,0.2868170979376826,6.2379870293744215,0.032385899741735245,0.95,0.9155797963871916,0.9017025901995207
31,0.8500000000000001,4.394264910795208,0.06683530663471578,0.295346200902909,5.669674614651092,0.03255629959008309,0.95,0.9193187919379855,0.8653132350340658
32,0.8500000000000001,3.616812741768693,0.11814755020487311,0.47718080110122096,5.119033043135798,0.11295283601228817,0.95,0.9224376112423089,0.9152665482007063
33,0.8500000000000001,4.116627512765883,0.1485520140280896,0.3329592368839359,5.331801923300053,0.0698259967255542,0.95,0.9168880805010331,0.883298212014336
34,0.8500000000000001,5.918607809096664,0.11010627283252318,0.2870711389032532,5.753383991177418,0.03456032971615058,0.95,0.9185080791503033,0.8044949182062514
