draw,program,base_riders,scen_riders,d_riders,base_dist_mean,base_dist_p50,base_dist_p90,scen_dist_mean,scen_dist_p50,scen_dist_p90
35,basic,10008.5,9982.0618,-26.4382,1.5546,1.2551,2.7858,1.5584,1.259,2.7982
35,gifted,1315.5,1315.5,0.0,,,,,,
36,basic,10008.5,9983.6737,-24.8263,1.5256,1.2473,2.7344,1.5291,1.2527,2.7406
36,gifted,1315.5,1315.5,0.0,,,,,,
37,basic,10008.5,9978.5645,-29.9355,1.5853,1.2871,2.8428,1.5895,1.2945,2.846
37,gifted,1315.5,1315.5,0.0,,,,,,
38,basic,10008.5,9979.0255,-29.4745,1.5069,1.2252,2.6856,1.5105,1.2351,2.6894
38,gifted,1315.5,1315.5,0.0,,,,,,
39,basic,10008.5,9978.6196,-29.8804,1.5406,1.2476,2.7714,1.5445,1.2529,2.7775
39,gifted,1315.5,1315.5,0.0,,,,,,
40,basic,10008.5,9973.3845,-35.1155,1.5579,1.2621,2.7852,1.5622,1.2814,2.7857
40,gifted,1315.5,1315.5,0.0,,,,,,
41,basic,10008.5,9978.0965,-30.4035,1.4755,1.2184,2.6086,1.4787,1.2232,2.6104
41,gifted,1315.5,1315.5,0.0,,,,,,
42,basic,10008.5,9982.3848,-26.1152,1.5851,1.2897,2.8428,1.5895,1.3035,2.846
42,gifted,1315.5,1315.5,0.0,,,,,,
43,basic,10008.5,9984.8231,-23.6769,1.5551,1.259,2.7982,1.5589,1.2742,2.7994
43,gifted,1315.5,1315.5,0.0,,,,,,
44,basic,10008.5,9979.9262,-28.5738,1.5387,1.2475,2.7855,1.5425,1.2529,2.7856
44,gifted,1315.5,1315.5,0.0,,,,,,
45,basic,10008.5,9981.7191,-26.7809,1.5122,1.2252,2.7221,1.5158,1.2348,2.7329
45,gifted,1315.5,1315.5,0.0,,,,,,
46,basic,10008.5,9982.085,-26.415,1.5659,1.2747,2.8185,1.5699,1.285,2.8205
46,gifted,1315.5,1315.5,0.0,,,,,,
47,basic,10008.5,9977.8425,-30.6575,1.5122,1.2252,2.6846,1.5156,1.2297,2.6859
47,gifted,1315.5,1315.5,0.0,,,,,,
48,basic,10008.5,9981.9706,-26.5294,1.5628,1.259,2.8114,1.5668,1.2748,2.8154
48,gifted,1315.5,1315.5,0.0,,,,,,
49,basic,10008.5,9980.1331,-28.3669,1.5985,1.304,2.8461,1.6029,1.3132,2.8462
49,gifted,1315.5,1315.5,0.0,,,,,,
50,basic,10008.5,9978.7026,-29.7974,1.5403,1.2472,2.7775,1.5444,1.2526,2.7854
50,gifted,1315.5,1315.5,0.0,,,,,,
51,basic,10008.5,9975.1588,-33.3412,1.5336,1.2527,2.7555,1.5375,1.2577,2.7581
51,gifted,1315.5,1315.5,0.0,,,,,,
52,basic,10008.5,9980.3339,-28.1661,1.5086,1.2252,2.6795,1.5123,1.2299,2.6857
52,gifted,1315.5,1315.5,0.0,,,,,,
53,basic,10008.5,9982.9043,-25.5957,1.5283,1.2347,2.7555,1.5319,1.2472,2.7621
53,gifted,1315.5,1315.5,0.0,,,,,,
54,basic,10008.5,9979.2306,-29.2694,1.5699,1.2873,2.8151,1.574,1.2979,2.8154
54,gifted,1315.5,1315.5,0.0,,,,,,
55,basic,10008.5,9978.563,-29.937,1.4918,1.2252,2.6493,1.495,1.2377,2.6592
55,gifted,1315.5,1315.5,0.0,,,,,,
56,basic,10008.5,9976.7995,-31.7005,1.5667,1.259,2.8159,1.5708,1.2767,2.8204
56,gifted,1315.5,1315.5,0.0,,,,,,
57,basic,10008.5,9982.4042,-26.0958,1.5271,1.2473,2.7327,1.5307,1.2527,2.7368
57,gifted,1315.5,1315.5,0.0,,,,,,
58,basic,10008.5,9976.625,-31.875,1.6016,1.2871,2.8465,1.6059,1.2946,2.8465
58,gifted,1315.5,1315.5,0.0,,,,,,
59,basic,10008.5,9981.6782,-26.8218,1.5032,1.2252,2.6704,1.5067,1.2299,2.6787
59,gifted,1315.5,1315.5,0.0,,,,,,
60,basic,10008.5,9974.4663,-34.0337,1.5671,1.2825,2.8151,1.5711,1.2905,2.8154
60,gifted,1315.5,1315.5,0.0,,,,,,
61,basic,10008.5,9983.7593,-24.7407,1.553,1.259,2.7854,1.5571,1.259,2.7856
61,gifted,1315.5,1315.5,0.0,,,,,,
62,basic,10008.5,9983.8673,-24.6327,1.5779,1.2528,2.8241,1.5817,1.259,2.8419
62,gifted,1315.5,1315.5,0.0,,,,,,
63,basic,10008.5,9980.5427,-27.9573,1.5095,1.2252,2.6855,1.513,1.2299,2.6886
63,gifted,1315.5,1315.5,0.0,,,,,,
64,basic,10008.5,9976.5736,-31.9264,1.5842,1.2903,2.8205,1.5883,1.304,2.8303
64,gifted,1315.5,1315.5,0.0,,,,,,
65,basic,10008.5,9977.3943,-31.1057,1.5134,1.2252,2.7121,1.5171,1.2378,2.722
65,gifted,1315.5,1315.5,0.0,,,,,,
66,basic,10008.5,9977.5931,-30.9069,1.6042,1.2945,2.8464,1.6085,1.3066,2.8465
66,gifted,1315.5,1315.5,0.0,,,,,,
67,basic,10008.5,9980.0216,-28.4784,1.5182,1.2252,2.7219,1.5219,1.2297,2.7326
67,gifted,1315.5,1315.5,0.0,,,,,,
68,basic,10008.5,9978.0441,-30.4559,1.5359,1.249,2.7565,1.5398,1.2556,2.7633
68,gifted,1315.5,1315.5,0.0,,,,,,
69,basic,10008.5,9975.0845,-33.4155,1.5625,1.2764,2.7994,1.5664,1.2871,2.8092
69,gifted,1315.5,1315.5,0.0,,,,,,
70,basic,10008.5,9981.8133,-26.6867,1.5643,1.259,2.795,1.5683,1.2699,2.7994
70,gifted,1315.5,1315.5,0.0,,,,,,
71,basic,10008.5,9981.0615,-27.4385,1.56,1.259,2.7994,1.5641,1.2747,2.8093
71,gifted,1315.5,1315.5,0.0,,,,,,
72,basic,10008.5,9976.7292,-31.7708,1.5672,1.259,2.8156,1.5714,1.2748,2.8159
72,gifted,1315.5,1315.5,0.0,,,,,,
73,basic,10008.5,9979.5255,-28.9745,1.5421,1.2347,2.7775,1.5459,1.2472,2.7844
73,gifted,1315.5,1315.5,0.0,,,,,,
74,basic,10008.5,9983.6386,-24.8614,1.5394,1.2414,2.7788,1.5433,1.2483,2.7855
74,gifted,1315.5,1315.5,0.0,,,,,,
75,basic,10008.5,9978.7331,-29.7669,1.6166,1.2898,2.8466,1.6209,1.3035,2.8466
75,gifted,1315.5,1315.5,0.0,,,,,,
76,basic,10008.5,9982.2728,-26.2272,1.5568,1.259,2.7994,1.5607,1.259,2.8092
76,gifted,1315.5,1315.5,0.0,,,,,,
77,basic,10008.5,9981.5469,-26.9531,1.5394,1.2475,2.7775,1.5432,1.2528,2.7854
77,gifted,1315.5,1315.5,0.0,,,,,,
78,basic,10008.5,9979.2239,-29.2761,1.5345,1.2398,2.767,1.5384,1.2474,2.7775
78,gifted,1315.5,1315.5,0.0,,,,,,
79,basic,10008.5,9977.7549,-30.7451,1.5432,1.2526,2.785,1.5469,1.2566,2.7855
79,gifted,1315.5,1315.5,0.0,,,,,,
80,basic,10008.5,9976.5846,-31.9154,1.5495,1.2496,2.7857,1.5535,1.2566,2.7858
80,gifted,1315.5,1315.5,0.0,,,,,,
81,basic,10008.5,9977.0103,-31.4897,1.5108,1.2416,2.6858,1.5146,1.2477,2.6982
81,gifted,1315.5,1315.5,0.0,,,,,,
82,basic,10008.5,9985.6564,-22.8436,1.5634,1.2529,2.8152,1.5675,1.259,2.8155
82,gifted,1315.5,1315.5,0.0,,,,,,
83,basic,10008.5,9980.5036,-27.9964,1.5192,1.2379,2.7327,1.5228,1.2473,2.7381
83,gifted,1315.5,1315.5,0.0,,,,,,
84,basic,10008.5,9979.3321,-29.1679,1.5389,1.2474,2.7854,1.5429,1.2528,2.7856
84,gifted,1315.5,1315.5,0.0,,,,,,
85,basic,10008.5,9976.8069,-31.6931,1.5449,1.259,2.7775,1.5488,1.259,2.7844
85,gifted,1315.5,1315.5,0.0,,,,,,
86,basic,10008.5,9980.3601,-28.1399,1.5581,1.259,2.8094,1.5622,1.259,2.8152
86,gifted,1315.5,1315.5,0.0,,,,,,
87,basic,10008.5,9977.9878,-30.5122,1.6324,1.3275,2.8627,1.637,1.3363,2.8773
87,gifted,1315.5,1315.5,0.0,,,,,,
88,basic,10008.5,9977.5312,-30.9688,1.5664,1.2721,2.8153,1.5705,1.2822,2.8156
88,gifted,1315.5,1315.5,0.0,,,,,,
89,basic,10008.5,9980.3876,-28.1124,1.5414,1.2475,2.7854,1.5453,1.2529,2.7855
89,gifted,1315.5,1315.5,0.0,,,,,,
90,basic,10008.5,9977.6945,-30.8055,1.6154,1.3033,2.8466,1.6197,1.3082,2.8569
90,gifted,1315.5,1315.5,0.0,,,,,,
91,basic,10008.5,9974.778,-33.722,1.5112,1.2437,2.686,1.515,1.2493,2.7057
91,gifted,1315.5,1315.5,0.0,,,,,,
92,basic,10008.5,9977.9437,-30.5563,1.551,1.2484,2.7994,1.555,1.2539,2.8092
92,gifted,1315.5,1315.5,0.0,,,,,,
93,basic,10008.5,9986.1956,-22.3044,1.546,1.2475,2.7775,1.5498,1.2529,2.7854
93,gifted,1315.5,1315.5,0.0,,,,,,
94,basic,10008.5,9981.0432,-27.4568,1.5906,1.2628,2.8461,1.595,1.2815,2.8462
94,gifted,1315.5,1315.5,0.0,,,,,,
95,basic,10008.5,9976.2664,-32.2336,1.5612,1.2639,2.7982,1.5653,1.2815,2.8045
95,gifted,1315.5,1315.5,0.0,,,,,,
96,basic,10008.5,9978.2693,-30.2307,1.5641,1.259,2.8089,1.5681,1.2606,2.8116
96,gifted,1315.5,1315.5,0.0,,,,,,
97,basic,10008.5,9978.4666,-30.0334,1.5816,1.2815,2.8225,1.5858,1.2898,2.84
97,gifted,1315.5,1315.5,0.0,,,,,,
98,basic,10008.5,9983.4893,-25.0107,1.5909,1.3036,2.8421,1.5952,1.3115,2.8459
98,gifted,1315.5,1315.5,0.0,,,,,,
99,basic,10008.5,9980.4976,-28.0024,1.5504,1.259,2.7934,1.5541,1.259,2.7991
99,gifted,1315.5,1315.5,0.0,,,,,,
100,basic,10008.5,9980.266,-28.234,1.5858,1.2658,2.846,1.59,1.2819,2.846
100,gifted,1315.5,1315.5,0.0,,,,,,
101,basic,10008.5,9983.1481,-25.3519,1.5155,1.2457,2.7121,1.5193,1.2526,2.7208
101,gifted,1315.5,1315.5,0.0,,,,,,
102,basic,10008.5,9979.3557,-29.1443,1.5639,1.259,2.8155,1.5679,1.2768,2.8157
102,gifted,1315.5,1315.5,0.0,,,,,,
103,basic,10008.5,9981.2191,-27.2809,1.5458,1.2565,2.7775,1.5496,1.259,2.7854
103,gifted,1315.5,1315.5,0.0,,,,,,
104,basic,10008.5,9975.4217,-33.0783,1.5551,1.2527,2.7857,1.5591,1.2584,2.7953
104,gifted,1315.5,1315.5,0.0,,,,,,
105,basic,10008.5,9978.58,-29.92,1.5693,1.2577,2.8154,1.5734,1.259,2.8157
105,gifted,1315.5,1315.5,0.0,,,,,,
106,basic,10008.5,9984.4287,-24.0713,1.5685,1.2821,2.8153,1.5727,1.2903,2.8156
106,gifted,1315.5,1315.5,0.0,,,,,,
107,basic,10008.5,9976.9768,-31.5232,1.5639,1.2729,2.7994,1.568,1.2824,2.8093
107,gifted,1315.5,1315.5,0.0,,,,,,
108,basic,10008.5,9978.1545,-30.3455,1.5791,1.2874,2.8158,1.5831,1.3033,2.8185
108,gifted,1315.5,1315.5,0.0,,,,,,
109,basic,10008.5,9976.8828,-31.6172,1.5927,1.2898,2.84,1.5971,1.3036,2.8428
109,gifted,1315.5,1315.5,0.0,,,,,,
110,basic,10008.5,9973.5923,-34.9077,1.5522,1.259,2.7982,1.5564,1.259,2.7994
110,gifted,1315.5,1315.5,0.0,,,,,,
111,basic,10008.5,9980.4976,-28.0024,1.5881,1.2803,2.8428,1.5922,1.2891,2.846
111,gifted,1315.5,1315.5,0.0,,,,,,
112,basic,10008.5,9970.2497,-38.2503,1.6011,1.312,2.8461,1.6056,1.3312,2.8463
112,gifted,1315.5,1315.5,0.0,,,,,,
113,basic,10008.5,9981.5952,-26.9048,1.5527,1.259,2.7858,1.5566,1.2748,2.7959
113,gifted,1315.5,1315.5,0.0,,,,,,
114,basic,10008.5,9981.9791,-26.5209,1.5055,1.2242,2.6874,1.5091,1.2276,2.7028
114,gifted,1315.5,1315.5,0.0,,,,,,
115,basic,10008.5,9978.3259,-30.1741,1.5898,1.3025,2.846,1.5941,1.3069,2.8461
115,gifted,1315.5,1315.5,0.0,,,,,,
116,basic,10008.5,9979.1113,-29.3887,1.5773,1.2793,2.8206,1.5815,1.288,2.8322
116,gifted,1315.5,1315.5,0.0,,,,,,
117,basic,10008.5,9977.2496,-31.2504,1.517,1.2416,2.7155,1.5205,1.2477,2.7221
117,gifted,1315.5,1315.5,0.0,,,,,,
118,basic,10008.5,9982.4309,-26.0691,1.5618,1.259,2.8146,1.5661,1.259,2.8154
118,gifted,1315.5,1315.5,0.0,,,,,,
119,basic,10008.5,9973.8428,-34.6572,1.5834,1.259,2.8422,1.5875,1.2804,2.8459
119,gifted,1315.5,1315.5,0.0,,,,,,
120,basic,10008.5,9979.8638,-28.6362,1.5738,1.2701,2.8206,1.5779,1.2815,2.8322
120,gifted,1315.5,1315.5,0.0,,,,,,
121,basic,10008.5,9976.1478,-32.3522,1.5818,1.3024,2.8165,1.5861,1.3069,2.8205
121,gifted,1315.5,1315.5,0.0,,,,,,
122,basic,10008.5,9979.2668,-29.2332,1.5876,1.2872,2.8428,1.5916,1.2946,2.846
122,gifted,1315.5,1315.5,0.0,,,,,,
123,basic,10008.5,9978.1966,-30.3034,1.581,1.2657,2.8322,1.5847,1.2815,2.8421
123,gifted,1315.5,1315.5,0.0,,,,,,
124,basic,10008.5,9977.6285,-30.8715,1.5764,1.2821,2.8205,1.5808,1.2904,2.8322
124,gifted,1315.5,1315.5,0.0,,,,,,
125,basic,10008.5,9975.9782,-32.5218,1.5702,1.259,2.8154,1.5743,1.2748,2.8156
125,gifted,1315.5,1315.5,0.0,,,,,,
126,basic,10008.5,9978.2802,-30.2198,1.6062,1.3031,2.8465,1.6108,1.3069,2.8465
126,gifted,1315.5,1315.5,0.0,,,,,,
127,basic,10008.5,9981.823,-26.677,1.5238,1.2414,2.7423,1.5275,1.2476,2.7493
127,gifted,1315.5,1315.5,0.0,,,,,,
128,basic,10008.5,9974.2678,-34.2322,1.6342,1.3042,2.8798,1.6389,1.3243,2.8897
128,gifted,1315.5,1315.5,0.0,,,,,,
129,basic,10008.5,9977.6541,-30.8459,1.6039,1.2815,2.8465,1.6082,1.2896,2.8466
129,gifted,1315.5,1315.5,0.0,,,,,,
130,basic,10008.5,9977.8988,-30.6012,1.6082,1.3068,2.8465,1.6126,1.3281,2.8465
130,gifted,1315.5,1315.5,0.0,,,,,,
131,basic,10008.5,9978.8719,-29.6281,1.5741,1.259,2.8185,1.5783,1.2769,2.8206
131,gifted,1315.5,1315.5,0.0,,,,,,
132,basic,10008.5,9980.3866,-28.1134,1.5164,1.2395,2.7003,1.5199,1.2473,2.7121
132,gifted,1315.5,1315.5,0.0,,,,,,
133,basic,10008.5,9982.5521,-25.9479,1.5149,1.2348,2.6981,1.5184,1.2457,2.7095
133,gifted,1315.5,1315.5,0.0,,,,,,
134,basic,10008.5,9983.6775,-24.8225,1.5762,1.259,2.8158,1.5801,1.277,2.8199
134,gifted,1315.5,1315.5,0.0,,,,,,
135,basic,10008.5,9982.8525,-25.6475,1.5613,1.259,2.8113,1.5652,1.2748,2.8154
135,gifted,1315.5,1315.5,0.0,,,,,,
136,basic,10008.5,9973.6494,-34.8506,1.6121,1.3315,2.8464,1.6168,1.3434,2.8465
136,gifted,1315.5,1315.5,0.0,,,,,,
137,basic,10008.5,9985.0647,-23.4353,1.5598,1.2748,2.7982,1.5637,1.2871,2.7995
137,gifted,1315.5,1315.5,0.0,,,,,,
138,basic,10008.5,9977.1066,-31.3934,1.5521,1.2527,2.7857,1.5562,1.259,2.7874
138,gifted,1315.5,1315.5,0.0,,,,,,
139,basic,10008.5,9976.9203,-31.5797,1.5878,1.2815,2.8429,1.5923,1.2895,2.846
139,gifted,1315.5,1315.5,0.0,,,,,,
140,basic,10008.5,9971.3859,-37.1141,1.6097,1.3067,2.8465,1.6142,1.3266,2.8465
140,gifted,1315.5,1315.5,0.0,,,,,,
