draw,program,base_riders,scen_riders,d_riders,base_dist_mean,base_dist_p50,base_dist_p90,scen_dist_mean,scen_dist_p50,scen_dist_p90
34,gifted,1315.5,1476.1438,160.6438,,,,,,
35,basic,10008.5,11931.7873,1923.2873,1.5669,1.259,2.8156,1.488,1.2157,2.6383
35,gifted,1315.5,1479.0541,163.5541,,,,,,
36,basic,10008.5,11992.9749,1984.4749,1.6067,1.2895,2.8465,1.5187,1.2228,2.6982
36,gifted,1315.5,1479.8266,164.3266,,,,,,
37,basic,10008.5,12135.5932,2127.0932,1.5646,1.259,2.8156,1.4777,1.2095,2.6252
37,gifted,1315.5,1477.9489,162.4489,,,,,,
38,basic,10008.5,12010.5256,2002.0256,1.5454,1.2527,2.7856,1.4662,1.199,2.5942
38,gifted,1315.5,1481.7568,166.2568,,,,,,
39,basic,10008.5,12217.9036,2209.4036,1.5806,1.2898,2.8248,1.4895,1.223,2.6386
39,gifted,1315.5,1484.5021,169.0021,,,,,,
40,basic,10008.5,12152.2414,2143.7414,1.5327,1.2529,2.7555,1.4528,1.199,2.5291
40,gifted,1315.5,1481.3944,165.8944,,,,,,
41,basic,10008.5,12157.2022,2148.7022,1.5373,1.2578,2.7634,1.455,1.199,2.5583
41,gifted,1315.5,1475.267,159.767,,,,,,
42,basic,10008.5,12076.188,2067.688,1.571,1.2763,2.8153,1.4866,1.2184,2.6223
42,gifted,1315.5,1473.8692,158.3692,,,,,,
43,basic,10008.5,12179.367,2170.867,1.4574,1.1988,2.5871,1.3875,1.1697,2.4252
43,gifted,1315.5,1479.0378,163.5378,,,,,,
44,basic,10008.5,12127.4829,2118.9829,1.6012,1.304,2.846,1.5095,1.2241,2.6631
44,gifted,1315.5,1481.071,165.571,,,,,,
45,basic,10008.5,12092.6709,2084.1709,1.5597,1.259,2.7992,1.4762,1.2002,2.6086
45,gifted,1315.5,1479.902,164.402,,,,,,
46,basic,10008.5,12083.8861,2075.3861,1.5821,1.27,2.8433,1.494,1.2116,2.6629
46,gifted,1315.5,1472.5401,157.0401,,,,,,
47,basic,10008.5,12222.5111,2214.0111,1.5226,1.2299,2.719,1.4403,1.185,2.504
47,gifted,1315.5,1477.5492,162.0492,,,,,,
48,basic,10008.5,12108.2807,2099.7807,1.5701,1.2701,2.8157,1.484,1.2159,2.6379
48,gifted,1315.5,1480.4523,164.9523,,,,,,
49,basic,10008.5,12191.4262,2182.9262,1.6066,1.3068,2.8464,1.512,1.2252,2.6846
49,gifted,1315.5,1480.6092,165.1092,,,,,,
50,basic,10008.5,12199.2046,2190.7046,1.5519,1.259,2.7857,1.4662,1.2003,2.5769
50,gifted,1315.5,1482.3782,166.8782,,,,,,
51,basic,10008.5,11896.7909,1888.2909,1.5625,1.2585,2.8154,1.4851,1.2116,2.6447
51,gifted,1315.5,1473.2671,157.7671,,,,,,
52,basic,10008.5,12095.2861,2086.7861,1.5297,1.2355,2.7454,1.4497,1.1862,2.5274
52,gifted,1315.5,1471.945,156.445,,,,,,
53,basic,10008.5,12063.8014,2055.3014,1.5591,1.259,2.7994,1.4757,1.2028,2.6092
53,gifted,1315.5,1479.2603,163.7603,,,,,,
54,basic,10008.5,12137.5197,2129.0197,1.5647,1.259,2.8113,1.478,1.2048,2.6103
54,gifted,1315.5,1476.0681,160.5681,,,,,,
55,basic,10008.5,12179.1459,2170.6459,1.5935,1.2904,2.8459,1.5007,1.2231,2.663
55,gifted,1315.5,1476.726,161.226,,,,,,
56,basic,10008.5,12130.7976,2122.2976,1.5477,1.2529,2.7856,1.4644,1.1985,2.5813
56,gifted,1315.5,1475.7017,160.2017,,,,,,
57,basic,10008.5,12111.7889,2103.2889,1.5644,1.259,2.8094,1.4796,1.2116,2.6095
57,gifted,1315.5,1476.9205,161.4205,,,,,,
58,basic,10008.5,11985.6806,1977.1806,1.575,1.2815,2.8421,1.4932,1.2231,2.663
58,gifted,1315.5,1476.2279,160.7279,,,,,,
59,basic,10008.5,12141.4078,2132.9078,1.5506,1.259,2.7858,1.4673,1.2007,2.5886
59,gifted,1315.5,1479.4049,163.9049,,,,,,
60,basic,10008.5,12013.5869,2005.0869,1.5887,1.2748,2.846,1.5034,1.218,2.6656
60,gifted,1315.5,1479.3596,163.8596,,,,,,
61,basic,10008.5,12150.328,2141.828,1.5635,1.259,2.8094,1.477,1.2,2.6086
61,gifted,1315.5,1478.4849,162.9849,,,,,,
62,basic,10008.5,12052.3094,2043.8094,1.5428,1.2472,2.7855,1.4629,1.192,2.5813
62,gifted,1315.5,1477.6744,162.1744,,,,,,
