GEOID,geoid_tract,area_sqft,sps_area_sqft,sps_frac,centroid_lat,centroid_lon,geometry_wkt
530330001011,53033000101,1551131.302114371,1551131.3021143707,0.9999999999999999,47.7310181035402,-122.29134330515892,"POLYGON ((1281027.1189533018 270402.0059703962, 1281386.0170427966 270390.8193304651, 1281383.5254220543 271051.21347076184, 1281627.2864080481 271043.30928131274, 1281712.4016008116 271040.96692516806, 1282043.2670378955 271031.7829419662, 1282042.3922519803 270374.3716985165, 1282042.0493626357 269706.0054974403, 1282041.291139594 269041.6603896024, 1281709.878062231 269049.75962486136, 1281391.0074770667 269057.26202267915, 1281388.3783266577 269723.4959260856, 1281047.8386185418 269729.9558624949, 1281009.4748591252 269731.7784933394, 1281015.8741634432 269939.24678895134, 1281027.1189533018 270402.0059703962))"
530330001012,53033000101,1116628.0472732515,1116628.0472732515,1.0,47.732134669076004,-122.29475714829499,"POLYGON ((1280367.812789036 270691.4395596445, 1280378.6916281243 271082.3335814397, 1280677.3114049484 271073.00923666864, 1280712.4877978528 271071.9760987486, 1280828.343630958 271068.3161217959, 1281045.30007148 271061.64317994687, 1281383.5254220543 271051.21347076184, 1281386.0170427966 270390.8193304651, 1281027.1189533018 270402.0059703962, 1281015.8741634432 269939.24678895134, 1281009.4748591252 269731.7784933394, 1280660.0981232328 269739.50763928244, 1280351.7607664086 269756.6781267727, 1280350.3111074907 269978.1592387603, 1280360.241237802 270422.7016903581, 1280367.812789036 270691.4395596445))"
530330001013,53033000101,1797303.019901093,1797303.019901093,1.0,47.72808089336238,-122.29352208213473,"POLYGON ((1280660.0981232328 269739.50763928244, 1281009.4748591252 269731.7784933394, 1281047.8386185418 269729.9558624949, 1281388.3783266577 269723.4959260856, 1281391.0074770667 269057.26202267915, 1281709.878062231 269049.75962486136, 1282041.291139594 269041.6603896024, 1282040.4785308894 268374.39773041743, 1281708.869875897 268385.78395372845, 1281374.7869605015 268396.49323666113, 1281053.4931266177 268406.6008823561, 1280807.2375599728 268414.5591869477, 1280797.640761647 268414.7414333754, 1280356.2921544064 268428.6005403964, 1280360.812134497 268938.1859919465, 1280358.025367404 269646.0146509532, 1280351.7607664086 269756.6781267727, 1280660.0981232328 269739.50763928244))"
530330001021,53033000102,19509674.77303828,12178576.327193184,0.624232667580065,47.72672050134996,-122.28344507687338,"POLYGON ((1282372.4449040147 271024.46081740275, 1282708.2314903808 271015.19540304487, 1282791.659027493 271014.7139456596, 1282887.1561958373 271014.7346070686, 1282977.2267499033 271014.12852929696, 1283295.634331781 271009.9444417189, 1283326.3890857296 271009.3643931866, 1283518.2850227403 271005.0166143708, 1283947.8813552905 270997.653477067, 1284087.2976456236 270994.7299070856, 1284465.8689815442 270539.7749904655, 1284616.6052286413 270199.59489655704, 1284499.7088088896 269502.1484568125, 1284816.1704462965 268533.9525585581, 1284868.4108273915 268212.77866022126, 1284873.4866046393 268181.5720297206, 1284906.999989053 267975.53110322234, 1284901.420931974 267944.73818580946, 1284766.350992135 267199.2567371421, 1284659.3640013821 266608.7716976387, 1284709.9711836355 266340.44415030826, 1284942.1245907163 266156.47174922936, 1285043.8474056826 265967.4635348119, 1285145.5759554715 265778.4452743058, 1285169.7209202985 265670.01865389716, 1285193.441725842 265563.4974079842, 1284824.426606371 265575.4682939238, 1284496.5850234244 265632.70275357226, 1284471.379205532 265627.7039842046, 1284339.4264042883 265667.3971187152, 1284295.7427149087 265674.7854197132, 1283551.1801887245 265697.19130038284, 1283541.4802198873 265705.0355345087, 1283510.8543035875 265712.90927238856, 1283332.6867054952 265716.9972752643, 1283180.0041907257 265714.76893056853, 1283114.1973436307 265710.9026576554, 1283031.279972409 265713.56161723466, 1283023.8898848724 265713.3362376104, 1282883.9841611874 265709.7746841411, 1282795.0725151023 265720.93896650063, 1282797.7840187808 266346.93901043246, 1282801.7637547222 267092.2151638601, 1282808.735264706 268347.8346714413, 1282703.6898180908 268351.2780027138, 1282372.0874747129 268363.0173140112, 1282258.9217575404 268366.6166496466, 1282040.4785308894 268374.39773041743, 1282041.291139594 269041.6603896024, 1282042.0493626357 269706.0054974403, 1282042.3922519803 270374.3716985165, 1282043.2670378955 271031.7829419662, 1282372.4449040147 271024.46081740275))"
530330001022,53033000102,4701824.021983153,4701824.021983154,1.0000000000000002,47.72353468090024,-122.29052405976324,"POLYGON ((1280797.640761647 268414.7414333754, 1280807.2375599728 268414.5591869477, 1281053.4931266177 268406.6008823561, 1281374.7869605015 268396.49323666113, 1281708.869875897 268385.78395372845, 1282040.4785308894 268374.39773041743, 1282258.9217575404 268366.6166496466, 1282372.0874747129 268363.0173140112, 1282703.6898180908 268351.2780027138, 1282808.735264706 268347.8346714413, 1282801.7637547222 267092.2151638601, 1282797.7840187808 266346.93901043246, 1282795.0725151023 265720.93896650063, 1282538.1991185022 265729.0745881181, 1282244.1706865137 265738.2811506128, 1282045.1119292758 265744.23569468723, 1281689.3318634522 265755.7139419717, 1281694.3773630005 265827.12547072803, 1281697.9163014272 266858.80374874716, 1281698.413730841 266989.03941544995, 1281646.5025018405 266990.7524326054, 1281600.7573551768 266993.0784283707, 1281417.0649187213 267029.7594339512, 1281169.9157400236 267095.3731369976, 1281122.1952529985 267097.3729333691, 1280783.5146954919 267100.5179622524, 1280476.375090417 267105.2585425687, 1280342.5721520823 267111.45043319016, 1280349.421554378 267769.47840499325, 1280356.2921544064 268428.6005403964, 1280797.640761647 268414.7414333754))"
530330001023,53033000102,1769537.3707011242,1769537.3707011247,1.0000000000000002,47.721048882030956,-122.29360195746982,"POLYGON ((1280476.375090417 267105.2585425687, 1280783.5146954919 267100.5179622524, 1281122.1952529985 267097.3729333691, 1281169.9157400236 267095.3731369976, 1281417.0649187213 267029.7594339512, 1281600.7573551768 266993.0784283707, 1281646.5025018405 266990.7524326054, 1281698.413730841 266989.03941544995, 1281697.9163014272 266858.80374874716, 1281694.3773630005 265827.12547072803, 1281689.3318634522 265755.7139419717, 1281210.485199178 265768.8029121596, 1280920.8598580186 265776.4871963243, 1280594.578742185 265785.60195303214, 1280328.579887681 265792.8464432658, 1280335.702342167 266452.32841916103, 1280342.5721520823 267111.45043319016, 1280476.375090417 267105.2585425687))"
530330002011,53033000201,9927973.058550615,9927973.05855061,0.9999999999999994,47.72842899667733,-122.31900038415264,"POLYGON ((1273641.8904809738 267026.2450368118, 1273644.1978823845 267119.96298375, 1273648.8833016718 267311.0458656966, 1273655.7771951742 267590.7409304596, 1273665.0784144423 267982.02895617735, 1273718.0801436787 270261.2229059257, 1273719.5043985853 270385.6041720007, 1273723.950239501 270805.80839512584, 1273721.62985791 270876.63139418734, 1273717.8932900906 270988.708219556, 1273720.6290665243 271307.88619933825, 1274057.6041813558 271296.6200540458, 1274406.3892347107 271285.1316096477, 1275066.5699942228 271263.260281018, 1275400.3477869204 271252.07975107676, 1275724.2844593104 271241.09466149803, 1276386.681706431 271219.2267112221, 1276380.029171029 270553.1670308182, 1276373.131017086 269887.1121456323, 1276367.4239196961 269308.59466211224, 1276366.3741687508 269215.5821017625, 1276359.3927221203 268545.15095135337, 1276239.7167459473 268581.38170005806, 1276153.2826552314 268592.5298425907, 1276102.3883804393 268595.69792062626, 1276062.7571737221 268595.73074696254, 1276039.2542650043 268589.61595804396, 1276017.8677151108 268578.35279125936, 1275992.4036542245 268559.87142983754, 1275669.0819542354 268566.82602069085, 1275461.2162748917 268574.1144922983, 1275340.114860814 268587.3938517266, 1275357.1499588406 268704.90702170547, 1275347.968161628 268752.1476990168, 1275320.528151798 268758.8789158828, 1275289.9173610152 268754.3614368208, 1275205.811238952 268720.2295411084, 1275125.9229818753 268675.0716073799, 1275093.2797659347 268641.7717064326, 1275063.8562427876 268596.7350289449, 1275052.3184983255 268560.1093293393, 1275005.3781141853 267938.97186028183, 1274994.1906803565 267461.2542903166, 1274990.1165421808 267275.6320576053, 1274989.455256484 267254.1195725852, 1274987.94245957 267188.47852431634, 1274986.4439520612 267136.3360833366, 1274983.0106159307 267009.4398735371, 1274780.2465496405 267014.08320724673, 1274725.1294443556 267015.512263949, 1274313.2666360408 267028.21260076505, 1274309.5227327982 266694.4610500148, 1274297.5173322374 266366.3417468525, 1274288.236727208 265975.4181921665, 1273616.7477856607 265994.97825066996, 1273633.02699532 266657.56836908014, 1273641.8904809738 267026.2450368118))"
530330002012,53033000201,5256482.604178836,5256482.604178834,0.9999999999999997,47.72544637428657,-122.31043675074243,"POLYGON ((1277051.252363518 271195.1512398959, 1277043.6600373492 270530.20431416156, 1277035.815023668 269864.89747578785, 1277028.146431206 269195.93898292293, 1277024.2522277008 268864.74441919226, 1277020.4082186804 268523.3335578165, 1277238.8907267505 268517.6827676351, 1277681.543555482 268507.73913694045, 1277669.2569064714 267853.4627753144, 1277656.8515153993 267192.98658168194, 1277640.3957919646 266989.3597766952, 1277649.1406656913 266777.5887402495, 1277644.9421414582 266558.40414178104, 1277644.9018157416 266543.4467349594, 1277632.3148369014 265873.48847736145, 1277181.5699039332 265888.3301135501, 1276967.2688277727 265895.3600744845, 1276741.8931664177 265902.60511574405, 1276634.619676756 265906.12464416923, 1276475.7974681978 265917.56713143847, 1276302.13906805 265925.6478396117, 1276316.6233806256 266576.59826691746, 1276331.2688221382 267235.9368465909, 1276338.5340348887 267588.22698650643, 1276342.1462808559 267750.5087555806, 1276348.956397846 268066.3242511961, 1276359.3927221203 268545.15095135337, 1276366.3741687508 269215.5821017625, 1276367.4239196961 269308.59466211224, 1276373.131017086 269887.1121456323, 1276380.029171029 270553.1670308182, 1276386.681706431 271219.2267112221, 1277051.252363518 271195.1512398959))"
530330002013,53033000201,4261799.711731296,4261799.711731297,1.0000000000000002,47.72272378120202,-122.31607117238063,"POLYGON ((1274309.5227327982 266694.4610500148, 1274313.2666360408 267028.21260076505, 1274725.1294443556 267015.512263949, 1274780.2465496405 267014.08320724673, 1274983.0106159307 267009.4398735371, 1274986.4439520612 267136.3360833366, 1274987.94245957 267188.47852431634, 1274989.455256484 267254.1195725852, 1274990.1165421808 267275.6320576053, 1274994.1906803565 267461.2542903166, 1275005.3781141853 267938.97186028183, 1275052.3184983255 268560.1093293393, 1275063.8562427876 268596.7350289449, 1275093.2797659347 268641.7717064326, 1275125.9229818753 268675.0716073799, 1275205.811238952 268720.2295411084, 1275289.9173610152 268754.3614368208, 1275320.528151798 268758.8789158828, 1275347.968161628 268752.1476990168, 1275357.1499588406 268704.90702170547, 1275340.114860814 268587.3938517266, 1275461.2162748917 268574.1144922983, 1275669.0819542354 268566.82602069085, 1275992.4036542245 268559.87142983754, 1276017.8677151108 268578.35279125936, 1276039.2542650043 268589.61595804396, 1276062.7571737221 268595.73074696254, 1276102.3883804393 268595.69792062626, 1276153.2826552314 268592.5298425907, 1276239.7167459473 268581.38170005806, 1276359.3927221203 268545.15095135337, 1276348.956397846 268066.3242511961, 1276342.1462808559 267750.5087555806, 1276338.5340348887 267588.22698650643, 1276331.2688221382 267235.9368465909, 1276316.6233806256 266576.59826691746, 1276302.13906805 265925.6478396117, 1275966.4671758087 265932.83392950444, 1275781.3197471548 265932.38448448, 1275630.725179512 265936.3789782095, 1275441.998604188 265941.8391382674, 1275238.5058727732 265947.5858902829, 1275150.5836643702 265971.53628481313, 1275072.400400053 266002.59591164265, 1274959.7265947436 265955.8819412067, 1274288.236727208 265975.4181921665, 1274297.5173322374 266366.3417468525, 1274309.5227327982 266694.4610500148))"
530330002021,53033000202,5328260.527894225,5328260.527894225,1.0,47.72835638744921,-122.2991849393859,"POLYGON ((1279018.5395106042 269789.73842575605, 1279021.7420671585 269880.15597154154, 1279030.253112569 270261.6092233507, 1279032.085236035 270460.77327829215, 1279038.0436760164 271069.5664992863, 1279038.1526368666 271088.1709240186, 1279041.7872286725 271123.8552289389, 1279378.5348233252 271113.4178795029, 1279712.0841963259 271103.04745191237, 1280044.8957118248 271092.6969487035, 1280378.6916281243 271082.3335814397, 1280367.812789036 270691.4395596445, 1280360.241237802 270422.7016903581, 1280350.3111074907 269978.1592387603, 1280351.7607664086 269756.6781267727, 1280358.025367404 269646.0146509532, 1280360.812134497 268938.1859919465, 1280356.2921544064 268428.6005403964, 1280349.421554378 267769.47840499325, 1280342.5721520823 267111.45043319016, 1279663.021325469 267132.0446335773, 1279322.9967273248 267142.1732197728, 1279219.1683431014 267145.24771834427, 1278983.4715132855 267152.6632180313, 1278993.8411098425 267812.0837483463, 1278997.8126049296 268071.76921254635, 1279004.217822348 268471.8690433549, 1279105.8173201133 268468.47092079814, 1279098.828875313 268682.7613702077, 1279091.6461247678 268706.24775021354, 1279049.2882160312 268847.1520016891, 1279044.4169648893 269133.63908775046, 1279039.0395866262 269238.8136989814, 1279017.5848855493 269339.9171524115, 1278865.647252437 269723.33878819324, 1278980.7331555875 269782.0688655988, 1279018.5395106042 269789.73842575605))"
