draw,program,base_riders,scen_riders,d_riders,base_dist_mean,base_dist_p50,base_dist_p90,scen_dist_mean,scen_dist_p50,scen_dist_p90
33,gifted,1315.5,1217.4342,-98.0658,,,,,,
34,basic,10008.5,7235.1971,-2773.3029,1.5682,1.2888,2.8155,1.8931,1.6636,3.0493
34,gifted,1315.5,1218.0052,-97.4948,,,,,,
35,basic,10008.5,7205.9165,-2802.5835,1.5409,1.259,2.7775,1.8602,1.6375,3.0035
35,gifted,1315.5,1218.9098,-96.5902,,,,,,
36,basic,10008.5,7267.8925,-2740.6075,1.5839,1.291,2.8322,1.9092,1.6715,3.0808
36,gifted,1315.5,1216.0629,-99.4371,,,,,,
37,basic,10008.5,7186.3723,-2822.1277,1.5249,1.259,2.7442,1.8422,1.6182,2.9844
37,gifted,1315.5,1220.2213,-95.2787,,,,,,
38,basic,10008.5,7165.8368,-2842.6632,1.5177,1.2527,2.722,1.8346,1.6178,2.9799
38,gifted,1315.5,1219.6021,-95.8979,,,,,,
39,basic,10008.5,7260.1097,-2748.3903,1.5542,1.2905,2.7858,1.8698,1.6625,3.0328
39,gifted,1315.5,1217.9133,-97.5867,,,,,,
40,basic,10008.5,7155.9993,-2852.5007,1.4942,1.2494,2.663,1.8038,1.5939,2.901
40,gifted,1315.5,1216.7984,-98.7016,,,,,,
41,basic,10008.5,7138.0188,-2870.4812,1.5006,1.2529,2.6693,1.8152,1.602,2.9058
41,gifted,1315.5,1219.0735,-96.4265,,,,,,
42,basic,10008.5,7230.8518,-2777.6482,1.5384,1.2722,2.7555,1.8539,1.6428,2.9845
42,gifted,1315.5,1217.7775,-97.7225,,,,,,
43,basic,10008.5,6908.6385,-3099.8615,1.3895,1.1852,2.4608,1.6942,1.5063,2.7547
43,gifted,1315.5,1218.3578,-97.1422,,,,,,
44,basic,10008.5,7291.3424,-2717.1576,1.5741,1.3066,2.8112,1.8919,1.6721,3.0407
44,gifted,1315.5,1217.518,-97.982,,,,,,
45,basic,10008.5,7146.7561,-2861.7439,1.5117,1.2528,2.6982,1.8301,1.6176,2.9487
45,gifted,1315.5,1218.1224,-97.3776,,,,,,
46,basic,10008.5,7201.665,-2806.835,1.5471,1.259,2.7856,1.8699,1.6429,3.0376
46,gifted,1315.5,1218.2064,-97.2936,,,,,,
47,basic,10008.5,7048.4402,-2960.0598,1.4629,1.2232,2.5913,1.7771,1.5733,2.8465
47,gifted,1315.5,1216.3598,-99.1402,,,,,,
48,basic,10008.5,7204.4469,-2804.0531,1.5335,1.259,2.7588,1.8513,1.6371,2.9845
48,gifted,1315.5,1219.1968,-96.3032,,,,,,
49,basic,10008.5,7323.8903,-2684.6097,1.5817,1.3113,2.8206,1.8968,1.6716,3.0491
49,gifted,1315.5,1217.1361,-98.3639,,,,,,
50,basic,10008.5,7175.6042,-2832.8958,1.5099,1.2566,2.6856,1.8235,1.6182,2.9225
50,gifted,1315.5,1218.7366,-96.7634,,,,,,
51,basic,10008.5,7170.4248,-2838.0752,1.5367,1.259,2.7687,1.8601,1.641,2.992
51,gifted,1315.5,1218.8782,-96.6218,,,,,,
52,basic,10008.5,7069.0111,-2939.4889,1.4789,1.2252,2.6376,1.7962,1.5852,2.8844
52,gifted,1315.5,1221.6565,-93.8435,,,,,,
53,basic,10008.5,7172.7564,-2835.7436,1.5227,1.2566,2.7333,1.8417,1.6181,2.9831
53,gifted,1315.5,1216.6315,-98.8685,,,,,,
54,basic,10008.5,7214.3786,-2794.1214,1.5265,1.259,2.7375,1.8403,1.6182,2.983
54,gifted,1315.5,1220.3272,-95.1728,,,,,,
55,basic,10008.5,7265.684,-2742.816,1.5587,1.2898,2.7858,1.8745,1.6635,3.033
55,gifted,1315.5,1218.8041,-96.6959,,,,,,
56,basic,10008.5,7122.9772,-2885.5228,1.5003,1.2476,2.6786,1.8188,1.6017,2.9142
56,gifted,1315.5,1219.8972,-95.6028,,,,,,
57,basic,10008.5,7173.1238,-2835.3762,1.5221,1.259,2.7221,1.8409,1.6303,2.9751
57,gifted,1315.5,1219.2601,-96.2399,,,,,,
58,basic,10008.5,7260.4356,-2748.0644,1.562,1.288,2.8152,1.8803,1.6635,3.0407
58,gifted,1315.5,1217.5085,-97.9915,,,,,,
59,basic,10008.5,7189.9712,-2818.5288,1.5187,1.2585,2.7221,1.8342,1.6181,2.9749
59,gifted,1315.5,1217.4188,-98.0812,,,,,,
60,basic,10008.5,7218.0973,-2790.4027,1.5588,1.2773,2.8094,1.8826,1.6443,3.0407
60,gifted,1315.5,1216.2267,-99.2733,,,,,,
61,basic,10008.5,7150.5328,-2857.9672,1.5116,1.2527,2.704,1.8295,1.6181,2.93
61,gifted,1315.5,1219.4994,-96.0006,,,,,,
62,basic,10008.5,7093.2914,-2915.2086,1.496,1.235,2.6693,1.8169,1.5914,2.9255
62,gifted,1315.5,1217.9074,-97.5926,,,,,,
63,basic,10008.5,7127.9264,-2880.5736,1.4958,1.2443,2.6631,1.8109,1.5998,2.9033
63,gifted,1315.5,1216.9417,-98.5583,,,,,,
64,basic,10008.5,7315.5716,-2692.9284,1.5783,1.3112,2.8155,1.8941,1.6687,3.0407
64,gifted,1315.5,1220.7331,-94.7669,,,,,,
65,basic,10008.5,7051.8061,-2956.6939,1.4593,1.2232,2.5906,1.7714,1.5744,2.8465
65,gifted,1315.5,1217.1629,-98.3371,,,,,,
66,basic,10008.5,7266.9719,-2741.5281,1.5504,1.2872,2.7857,1.8653,1.649,3.0312
66,gifted,1315.5,1218.3362,-97.1638,,,,,,
67,basic,10008.5,7297.0223,-2711.4777,1.5927,1.3144,2.846,1.9167,1.6883,3.0852
67,gifted,1315.5,1217.5383,-97.9617,,,,,,
68,basic,10008.5,7265.66,-2742.84,1.5524,1.2895,2.7858,1.8677,1.6532,3.0267
68,gifted,1315.5,1216.6655,-98.8345,,,,,,
69,basic,10008.5,6997.1281,-3011.3719,1.4457,1.2175,2.5666,1.7605,1.5634,2.8463
69,gifted,1315.5,1216.458,-99.042,,,,,,
70,basic,10008.5,7151.2447,-2857.2553,1.5067,1.2527,2.6858,1.822,1.6016,2.9546
70,gifted,1315.5,1220.3927,-95.1073,,,,,,
71,basic,10008.5,7084.4804,-2924.0196,1.4811,1.2337,2.654,1.7969,1.5852,2.8912
71,gifted,1315.5,1218.9181,-96.5819,,,,,,
72,basic,10008.5,7173.1708,-2835.3292,1.5229,1.2577,2.7358,1.8416,1.6303,2.9832
72,gifted,1315.5,1218.0073,-97.4927,,,,,,
73,basic,10008.5,7291.6886,-2716.8114,1.5861,1.3067,2.8247,1.9082,1.6719,3.0651
73,gifted,1315.5,1217.9939,-97.5061,,,,,,
74,basic,10008.5,7369.7554,-2638.7446,1.6239,1.3449,2.8622,1.947,1.6987,3.1411
74,gifted,1315.5,1219.3167,-96.1833,,,,,,
75,basic,10008.5,7186.0933,-2822.4067,1.5496,1.259,2.8094,1.8768,1.6428,3.0406
75,gifted,1315.5,1216.6323,-98.8677,,,,,,
76,basic,10008.5,7244.023,-2764.477,1.5642,1.2872,2.8094,1.8866,1.6651,3.0407
76,gifted,1315.5,1219.6782,-95.8218,,,,,,
77,basic,10008.5,7002.3895,-3006.1105,1.4431,1.2116,2.5524,1.7572,1.5492,2.846
77,gifted,1315.5,1217.4936,-98.0064,,,,,,
78,basic,10008.5,7259.3637,-2749.1363,1.5533,1.2898,2.7858,1.8698,1.6467,3.0202
