draw,school_id,program,base_eligible,base_riders,scen_eligible,scen_riders
1,234,basic,73.639,59.84,39.402,29.037
1,235,basic,77.291,45.765,45.711,24.488
1,236,basic,51.104,44.071,37.924,31.555
1,239,basic,270.23,156.599,190.004,101.003
1,241,basic,385.59,124.707,349.831,109.781
1,242,basic,154.38,103.529,138.638,91.815
1,243,basic,212.684,113.527,170.571,89.09
1,244,basic,36.564,33.773,17.278,15.45
1,245,basic,317.46,258.156,268.28,212.671
1,246,basic,228.799,117.488,107.527,48.666
1,247,basic,366.726,118.39,336.278,106.117
1,248,basic,146.458,94.028,99.928,62.609
1,249,basic,31.511,22.981,4.832,2.682
1,250,basic,89.163,68.531,32.564,23.553
1,251,basic,135.561,60.33,97.158,40.432
1,252,basic,235.561,163.049,213.295,144.603
1,255,basic,87.644,59.614,58.241,38.232
1,257,basic,122.355,105.223,82.351,68.272
1,259,basic,162.964,123.157,102.698,71.485
1,261,basic,170.727,153.304,91.178,77.734
1,262,basic,190.237,143.899,135.851,98.519
1,264,basic,80.869,33.294,53.61,21.01
1,266,basic,104.631,81.049,53.238,38.3
1,267,basic,123.438,101.222,85.286,68.415
1,268,basic,113.445,107.773,85.12,80.864
1,269,basic,102.481,95.251,57.751,52.758
1,270,basic,148.274,104.87,79.082,48.059
1,272,basic,38.325,35.973,13.357,12.253
1,275,basic,95.387,89.147,75.752,70.494
1,276,basic,156.052,72.073,111.65,49.861
1,277,basic,125.265,84.66,59.47,38.343
1,279,basic,102.555,44.389,29.45,11.515
1,281,basic,73.139,50.69,8.511,4.941
1,282,basic,74.264,58.725,19.545,12.982
1,286,basic,179.844,96.612,130.27,57.446
1,287,gifted,190.0,192.45,114.106,115.578
1,288,basic,177.86,152.979,122.333,100.238
1,289,basic,102.576,94.874,57.724,52.405
1,291,basic,356.849,246.963,279.114,176.56
1,292,basic,495.077,299.001,215.955,112.348
1,930,basic,399.388,359.086,398.499,358.242
1,935,basic,435.942,325.403,301.461,204.387
1,939,basic,151.082,67.6,96.148,37.257
1,949,basic,378.781,331.0,240.55,200.637
1,955,basic,43.388,41.219,31.8,30.21
1,971,gifted,515.641,522.291,502.208,508.685
1,972,basic,262.517,204.702,225.951,171.409
1,974,basic,87.317,79.271,67.136,60.098
1,977,basic,240.607,183.867,153.876,110.087
2,103,basic,266.544,230.5,266.544,230.5
2,104,basic,149.556,52.864,149.556,52.864
2,105,basic,458.427,209.869,458.427,209.869
2,105,gifted,138.131,139.537,138.131,139.537
2,106,basic,441.943,264.237,441.943,264.237
