school_id,name,classification,is_hcc_site_current,year,basic_n_routes,basic_avg_dist_mi,basic_avg_stops,gifted_n_routes,gifted_avg_dist_mi,gifted_avg_stops,gifted_dist_ratio,gifted_longer
117,Washington,neighborhood,False,2023,4,3.4599999999999995,8.75,2,3.67,6.0,1.0606936416184973,True
105,Hamilton,neighborhood,False,2024,2,2.295,6.5,3,2.893333333333333,8.333333333333334,1.260711692084241,True
106,Jane Addams,neighborhood,False,2024,5,1.734,8.2,4,2.73,9.0,1.57439446366782,True
113,Robert Eagle Staff,neighborhood,False,2024,3,2.72,6.0,2,2.75,9.0,1.0110294117647058,True
117,Washington,neighborhood,False,2024,2,2.74,5.5,4,3.5875,7.0,1.3093065693430657,True
105,Hamilton,neighborhood,False,2025,2,2.365,5.0,3,3.03,8.666666666666666,1.281183932346723,True
106,Jane Addams,neighborhood,False,2025,5,1.738,7.8,4,2.6825,9.75,1.5434407364787113,True
107,Madison,neighborhood,False,2025,3,2.6799999999999997,6.333333333333333,2,3.495,9.0,1.3041044776119404,True
113,Robert Eagle Staff,neighborhood,False,2025,3,2.72,6.0,2,2.76,9.0,1.0147058823529411,True
117,Washington,neighborhood,False,2025,2,2.7249999999999996,4.0,4,3.6075,9.25,1.3238532110091745,True
