year,school_year,is_covid,basic_students_on_buses,basic_students_in_walk_areas,basic_students_transit_buses,basic_students_total,special_students_gifted,special_students_early_ed,special_students_bilingual,special_students_homeless,special_students_special_ed,routes_basic,routes_gifted,routes_bilingual,routes_early_ed,routes_homeless,buses_basic,buses_gifted
2017,2017-2018,False,12117.666666666666,213.0,8714.666666666666,20619.333333333332,2316.6666666666665,279.6666666666667,248.33333333333334,42.333333333333336,2247.3333333333335,225.0,68.0,12.0,47.0,13.0,145.0,62.0
2018,2018-2019,False,10782.0,309.5,7253.0,17725.5,2156.0,341.0,188.0,1.0,2264.5,204.5,70.0,12.0,34.5,1.5,138.5,64.0
2019,2019-2020,False,11452.666666666666,323.6666666666667,7392.0,18521.0,1894.3333333333333,336.3333333333333,302.6666666666667,6.666666666666667,2398.0,219.0,55.0,13.0,31.0,6.666666666666667,137.0,54.0
2020,2020-2021,True,110.66666666666667,0.0,1789.3333333333333,1900.0,0.0,54.333333333333336,0.0,26.333333333333332,240.33333333333334,2.6666666666666665,0.0,0.0,8.333333333333334,9.333333333333334,2.6666666666666665,0.0
2021,2021-2022,False,7973.0,302.3333333333333,6540.666666666667,14211.333333333334,920.0,236.33333333333334,8.666666666666666,3.3333333333333335,1877.3333333333333,216.0,49.0,8.0,23.0,0.0,140.0,47.0
2022,2022-2023,False,9462.666666666666,320.3333333333333,0.0,9142.333333333334,1125.3333333333333,244.66666666666666,2.6666666666666665,15.333333333333334,1887.0,216.33333333333334,41.0,0.0,38.333333333333336,0.3333333333333333,134.66666666666666,41.0
2023,2023-2024,False,8742.0,201.0,0.0,8541.0,1046.3333333333333,301.0,0.6666666666666666,85.66666666666667,2140.6666666666665,200.0,40.0,0.0,35.0,4.0,122.0,40.0
2024,2024-2025,False,10008.5,96.5,0.0,9912.0,1315.5,219.0,24.5,52.0,2506.0,202.0,40.0,0.0,18.0,1.5,123.0,39.0
2025,2025-2026,False,9171.0,160.5,0.0,9010.5,1400.5,247.5,15.0,70.0,2601.0,192.0,42.0,0.0,18.0,0.0,117.0,42.0
