draw,program,base_riders,scen_riders,d_riders,base_dist_mean,base_dist_p50,base_dist_p90,scen_dist_mean,scen_dist_p50,scen_dist_p90
34,basic,10008.5,11174.9458,1166.4458,1.5958,1.2835,2.8463,1.652,1.3769,2.8466
34,gifted,1315.5,1312.5433,-2.9567,,,,,,
35,basic,10008.5,11164.6822,1156.1822,1.5669,1.259,2.8156,1.6288,1.3708,2.8448
35,gifted,1315.5,1312.2964,-3.2036,,,,,,
36,basic,10008.5,11153.7705,1145.2705,1.6067,1.2895,2.8465,1.6637,1.378,2.8623
36,gifted,1315.5,1311.9598,-3.5402,,,,,,
37,basic,10008.5,11116.9524,1108.4524,1.5646,1.259,2.8156,1.6146,1.3597,2.8202
37,gifted,1315.5,1311.8321,-3.6679,,,,,,
38,basic,10008.5,11145.17,1136.67,1.5454,1.2527,2.7856,1.6013,1.3596,2.8038
38,gifted,1315.5,1311.9202,-3.5798,,,,,,
39,basic,10008.5,11112.1386,1103.6386,1.5806,1.2898,2.8248,1.627,1.3767,2.8379
39,gifted,1315.5,1312.4037,-3.0963,,,,,,
40,basic,10008.5,11119.2841,1110.7841,1.5327,1.2529,2.7555,1.5932,1.3596,2.7862
40,gifted,1315.5,1311.8554,-3.6446,,,,,,
41,basic,10008.5,11106.7722,1098.2722,1.5373,1.2578,2.7634,1.586,1.3595,2.7775
41,gifted,1315.5,1313.2071,-2.2929,,,,,,
42,basic,10008.5,11142.4504,1133.9504,1.571,1.2763,2.8153,1.6265,1.3766,2.8322
42,gifted,1315.5,1312.1312,-3.3688,,,,,,
43,basic,10008.5,11097.5854,1089.0854,1.4574,1.1988,2.5871,1.5096,1.2935,2.5868
43,gifted,1315.5,1311.9735,-3.5265,,,,,,
44,basic,10008.5,11151.8557,1143.3557,1.6012,1.304,2.846,1.6562,1.3888,2.8465
44,gifted,1315.5,1312.1753,-3.3247,,,,,,
45,basic,10008.5,11153.1638,1144.6638,1.5597,1.259,2.7992,1.6152,1.3596,2.8157
45,gifted,1315.5,1312.497,-3.003,,,,,,
46,basic,10008.5,11141.8534,1133.3534,1.5821,1.27,2.8433,1.6384,1.3712,2.8463
46,gifted,1315.5,1311.85,-3.65,,,,,,
47,basic,10008.5,11105.953,1097.453,1.5226,1.2299,2.719,1.5742,1.3476,2.7245
47,gifted,1315.5,1311.6227,-3.8773,,,,,,
48,basic,10008.5,11159.5329,1151.0329,1.5701,1.2701,2.8157,1.6235,1.3692,2.8258
48,gifted,1315.5,1312.3735,-3.1265,,,,,,
49,basic,10008.5,11106.7648,1098.2648,1.6066,1.3068,2.8464,1.6523,1.3839,2.8465
49,gifted,1315.5,1312.2677,-3.2323,,,,,,
50,basic,10008.5,11113.0076,1104.5076,1.5519,1.259,2.7857,1.6024,1.3596,2.796
50,gifted,1315.5,1312.3113,-3.1887,,,,,,
51,basic,10008.5,11181.2778,1172.7778,1.5625,1.2585,2.8154,1.6225,1.3647,2.8348
51,gifted,1315.5,1312.2604,-3.2396,,,,,,
52,basic,10008.5,11135.7124,1127.2124,1.5297,1.2355,2.7454,1.585,1.3594,2.7579
52,gifted,1315.5,1312.3415,-3.1585,,,,,,
53,basic,10008.5,11132.1356,1123.6356,1.5591,1.259,2.7994,1.6123,1.3596,2.8157
53,gifted,1315.5,1312.2544,-3.2456,,,,,,
54,basic,10008.5,11129.5935,1121.0935,1.5647,1.259,2.8113,1.6126,1.3597,2.8156
54,gifted,1315.5,1311.9865,-3.5135,,,,,,
55,basic,10008.5,11118.6403,1110.1403,1.5935,1.2904,2.8459,1.6497,1.3872,2.8464
55,gifted,1315.5,1312.3151,-3.1849,,,,,,
56,basic,10008.5,11113.1464,1104.6464,1.5477,1.2529,2.7856,1.5972,1.3596,2.7875
56,gifted,1315.5,1312.4402,-3.0598,,,,,,
57,basic,10008.5,11130.7835,1122.2835,1.5644,1.259,2.8094,1.6183,1.3625,2.8158
57,gifted,1315.5,1312.2606,-3.2394,,,,,,
58,basic,10008.5,11190.8471,1182.3471,1.575,1.2815,2.8421,1.6288,1.3767,2.846
58,gifted,1315.5,1312.0479,-3.4521,,,,,,
59,basic,10008.5,11092.7049,1084.2049,1.5506,1.259,2.7858,1.5965,1.3596,2.7863
59,gifted,1315.5,1311.7645,-3.7355,,,,,,
60,basic,10008.5,11161.2436,1152.7436,1.5887,1.2748,2.846,1.649,1.3768,2.8465
60,gifted,1315.5,1312.0778,-3.4222,,,,,,
61,basic,10008.5,11116.0304,1107.5304,1.5635,1.259,2.8094,1.6216,1.3647,2.8204
61,gifted,1315.5,1312.0112,-3.4888,,,,,,
62,basic,10008.5,11152.1123,1143.6123,1.5428,1.2472,2.7855,1.6039,1.3595,2.8045
62,gifted,1315.5,1312.4522,-3.0478,,,,,,
63,basic,10008.5,11132.5959,1124.0959,1.5392,1.2527,2.7748,1.592,1.3595,2.7856
63,gifted,1315.5,1312.534,-2.966,,,,,,
64,basic,10008.5,11157.1554,1148.6554,1.602,1.3066,2.8461,1.6582,1.3907,2.8465
64,gifted,1315.5,1312.2285,-3.2715,,,,,,
65,basic,10008.5,11127.7137,1119.2137,1.516,1.2299,2.7121,1.5744,1.3555,2.7481
65,gifted,1315.5,1312.304,-3.196,,,,,,
66,basic,10008.5,11086.3518,1077.8518,1.5767,1.2872,2.8206,1.6204,1.3692,2.8206
66,gifted,1315.5,1312.2501,-3.2499,,,,,,
67,basic,10008.5,11159.4294,1150.9294,1.6129,1.3067,2.8466,1.6695,1.3919,2.8932
67,gifted,1315.5,1312.2865,-3.2135,,,,,,
68,basic,10008.5,11166.6374,1158.1374,1.5769,1.2872,2.8206,1.6286,1.3769,2.8428
68,gifted,1315.5,1311.8064,-3.6936,,,,,,
69,basic,10008.5,11096.1702,1087.6702,1.5082,1.2252,2.712,1.5632,1.3435,2.7281
69,gifted,1315.5,1312.3028,-3.1972,,,,,,
70,basic,10008.5,11148.407,1139.907,1.5373,1.2529,2.7775,1.5981,1.3596,2.8094
70,gifted,1315.5,1311.7254,-3.7746,,,,,,
71,basic,10008.5,11115.3756,1106.8756,1.5238,1.2457,2.7449,1.5771,1.3572,2.7634
71,gifted,1315.5,1311.7763,-3.7237,,,,,,
72,basic,10008.5,11183.3115,1174.8115,1.5553,1.2585,2.7994,1.6129,1.3606,2.8158
72,gifted,1315.5,1312.4385,-3.0615,,,,,,
73,basic,10008.5,11174.1007,1165.6007,1.6077,1.304,2.8465,1.668,1.3919,2.8623
73,gifted,1315.5,1312.04,-3.46,,,,,,
74,basic,10008.5,11191.3075,1182.8075,1.6337,1.3347,2.8934,1.6862,1.3992,2.9226
74,gifted,1315.5,1312.2931,-3.2069,,,,,,
75,basic,10008.5,11194.5344,1186.0344,1.5766,1.259,2.846,1.6321,1.3646,2.8463
75,gifted,1315.5,1312.2691,-3.2309,,,,,,
76,basic,10008.5,11141.1512,1132.6512,1.5926,1.2826,2.846,1.6495,1.3769,2.8466
76,gifted,1315.5,1311.6865,-3.8135,,,,,,
77,basic,10008.5,11114.3379,1105.8379,1.4978,1.2231,2.6631,1.5544,1.3301,2.6788
77,gifted,1315.5,1311.4911,-4.0089,,,,,,
78,basic,10008.5,11152.7812,1144.2812,1.5806,1.2894,2.8243,1.6338,1.3768,2.846
78,gifted,1315.5,1311.9932,-3.5068,,,,,,
79,basic,10008.5,11163.3482,1154.8482,1.5374,1.2486,2.781,1.592,1.3595,2.7858
79,gifted,1315.5,1312.0324,-3.4676,,,,,,
80,basic,10008.5,11193.9022,1185.4022,1.5445,1.2529,2.7854,1.6043,1.3597,2.8094
80,gifted,1315.5,1311.5391,-3.9609,,,,,,
81,basic,10008.5,11145.4212,1136.9212,1.6066,1.304,2.8462,1.6579,1.3878,2.8465
81,gifted,1315.5,1312.6209,-2.8791,,,,,,
82,basic,10008.5,11183.7113,1175.2113,1.5757,1.2657,2.8185,1.629,1.3693,2.838
82,gifted,1315.5,1312.4617,-3.0383,,,,,,
83,basic,10008.5,11168.4524,1159.9524,1.5408,1.2473,2.7775,1.5981,1.3596,2.7934
83,gifted,1315.5,1312.2276,-3.2724,,,,,,
84,basic,10008.5,11179.2083,1170.7083,1.5625,1.2529,2.8152,1.6197,1.3596,2.8204
84,gifted,1315.5,1312.3928,-3.1072,,,,,,
85,basic,10008.5,11140.4947,1131.9947,1.539,1.2493,2.7558,1.5927,1.3595,2.7775
85,gifted,1315.5,1311.8675,-3.6325,,,,,,
86,basic,10008.5,11114.8722,1106.3722,1.5361,1.2527,2.7643,1.5913,1.3596,2.7857
86,gifted,1315.5,1311.808,-3.692,,,,,,
87,basic,10008.5,11129.6652,1121.1652,1.5221,1.2252,2.7201,1.5824,1.3476,2.7562
87,gifted,1315.5,1312.193,-3.307,,,,,,
88,basic,10008.5,11161.1195,1152.6195,1.5498,1.2527,2.8038,1.6123,1.3596,2.8257
88,gifted,1315.5,1311.8357,-3.6643,,,,,,
89,basic,10008.5,11125.1913,1116.6913,1.5347,1.2478,2.7675,1.5897,1.3596,2.7857
89,gifted,1315.5,1311.5925,-3.9075,,,,,,
90,basic,10008.5,11161.8226,1153.3226,1.5833,1.2904,2.8298,1.6375,1.3769,2.846
90,gifted,1315.5,1311.6788,-3.8212,,,,,,
91,basic,10008.5,11173.522,1165.022,1.5909,1.2814,2.846,1.6464,1.3769,2.8464
91,gifted,1315.5,1311.9116,-3.5884,,,,,,
92,basic,10008.5,11170.6178,1162.1178,1.5122,1.2252,2.722,1.5721,1.3465,2.7405
92,gifted,1315.5,1311.5515,-3.9485,,,,,,
93,basic,10008.5,11088.0173,1079.5173,1.5378,1.2472,2.7562,1.5845,1.3546,2.7536
93,gifted,1315.5,1312.4809,-3.0191,,,,,,
94,basic,10008.5,11116.3228,1107.8228,1.5732,1.2872,2.8155,1.6268,1.3767,2.8257
94,gifted,1315.5,1312.0206,-3.4794,,,,,,
95,basic,10008.5,11123.3053,1114.8053,1.5436,1.2554,2.7633,1.5946,1.3596,2.7854
95,gifted,1315.5,1312.4352,-3.0648,,,,,,
96,basic,10008.5,11148.7245,1140.2245,1.6059,1.2865,2.8464,1.6527,1.3768,2.8465
96,gifted,1315.5,1312.1852,-3.3148,,,,,,
97,basic,10008.5,11138.552,1130.052,1.6138,1.3039,2.8466,1.6655,1.3872,2.8626
97,gifted,1315.5,1312.3226,-3.1774,,,,,,
98,basic,10008.5,11182.2064,1173.7064,1.5237,1.2347,2.7424,1.5828,1.3555,2.7731
98,gifted,1315.5,1311.8766,-3.6234,,,,,,
99,basic,10008.5,11152.1143,1143.6143,1.5879,1.2897,2.842,1.6461,1.3878,2.8463
99,gifted,1315.5,1312.2468,-3.2532,,,,,,
100,basic,10008.5,11175.7284,1167.2284,1.57,1.2539,2.8206,1.631,1.3603,2.8461
100,gifted,1315.5,1312.1723,-3.3277,,,,,,
101,basic,10008.5,11151.6965,1143.1965,1.5174,1.2233,2.722,1.5775,1.3435,2.7426
101,gifted,1315.5,1312.4009,-3.0991,,,,,,
102,basic,10008.5,11144.3765,1135.8765,1.5778,1.259,2.8157,1.6257,1.3596,2.8159
102,gifted,1315.5,1311.9372,-3.5628,,,,,,
103,basic,10008.5,11174.8665,1166.3665,1.529,1.2252,2.7555,1.5872,1.3554,2.7775
103,gifted,1315.5,1312.1098,-3.3902,,,,,,
104,basic,10008.5,11086.0568,1077.5568,1.5573,1.259,2.7994,1.6043,1.3596,2.7994
104,gifted,1315.5,1311.7343,-3.7657,,,,,,
105,basic,10008.5,11125.7692,1117.2692,1.5132,1.2251,2.6857,1.5724,1.3435,2.7161
105,gifted,1315.5,1312.4018,-3.0982,,,,,,
106,basic,10008.5,11132.7893,1124.2893,1.5402,1.2529,2.7854,1.5978,1.3596,2.8045
106,gifted,1315.5,1312.384,-3.116,,,,,,
107,basic,10008.5,11130.9207,1122.4207,1.5693,1.259,2.8156,1.6304,1.3688,2.8428
107,gifted,1315.5,1312.4452,-3.0548,,,,,,
108,basic,10008.5,11194.5302,1186.0302,1.6095,1.304,2.8581,1.6619,1.3883,2.8844
108,gifted,1315.5,1311.9702,-3.5298,,,,,,
109,basic,10008.5,11116.6868,1108.1868,1.562,1.259,2.8153,1.6112,1.3622,2.8157
109,gifted,1315.5,1312.1553,-3.3447,,,,,,
110,basic,10008.5,11226.0245,1217.5245,1.589,1.259,2.846,1.6429,1.3696,2.8464
110,gifted,1315.5,1312.059,-3.441,,,,,,
111,basic,10008.5,11111.2538,1102.7538,1.6025,1.3067,2.8462,1.6503,1.3793,2.8464
111,gifted,1315.5,1312.4261,-3.0739,,,,,,
112,basic,10008.5,11117.8349,1109.3349,1.5683,1.259,2.7926,1.6185,1.3597,2.8094
112,gifted,1315.5,1312.2874,-3.2126,,,,,,
113,basic,10008.5,11153.0676,1144.5676,1.6266,1.3281,2.8623,1.6801,1.3985,2.9023
113,gifted,1315.5,1312.6533,-2.8467,,,,,,
114,basic,10008.5,11139.6856,1131.1856,1.5672,1.259,2.8131,1.6198,1.3597,2.8159
114,gifted,1315.5,1311.9344,-3.5656,,,,,,
115,basic,10008.5,11123.1255,1114.6255,1.5445,1.2566,2.7855,1.596,1.3596,2.7858
115,gifted,1315.5,1312.4725,-3.0275,,,,,,
116,basic,10008.5,11206.7295,1198.2295,1.5865,1.2748,2.8459,1.6421,1.3723,2.8463
116,gifted,1315.5,1312.0428,-3.4572,,,,,,
117,basic,10008.5,11178.0678,1169.5678,1.5929,1.2898,2.8463,1.6448,1.378,2.8465
117,gifted,1315.5,1311.7358,-3.7642,,,,,,
118,basic,10008.5,11110.7018,1102.2018,1.5364,1.2527,2.7855,1.5826,1.3594,2.7855
118,gifted,1315.5,1312.1565,-3.3435,,,,,,
119,basic,10008.5,11176.5516,1168.0516,1.5223,1.2274,2.7547,1.5825,1.352,2.7845
119,gifted,1315.5,1311.8641,-3.6359,,,,,,
120,basic,10008.5,11138.057,1129.557,1.5161,1.2415,2.7221,1.5665,1.3555,2.7294
120,gifted,1315.5,1311.389,-4.111,,,,,,
121,basic,10008.5,11149.8524,1141.3524,1.5264,1.2392,2.7423,1.5819,1.3594,2.7627
121,gifted,1315.5,1311.8575,-3.6425,,,,,,
122,basic,10008.5,11178.381,1169.881,1.5721,1.259,2.8158,1.6272,1.3597,2.8254
122,gifted,1315.5,1312.0485,-3.4515,,,,,,
123,basic,10008.5,11152.4691,1143.9691,1.5386,1.2527,2.7775,1.5937,1.3596,2.7858
123,gifted,1315.5,1311.8968,-3.6032,,,,,,
124,basic,10008.5,11175.9392,1167.4392,1.5634,1.2528,2.8094,1.6254,1.3604,2.8225
124,gifted,1315.5,1312.3204,-3.1796,,,,,,
125,basic,10008.5,11145.2361,1136.7361,1.5071,1.2186,2.6631,1.5706,1.3433,2.7
125,gifted,1315.5,1312.2497,-3.2503,,,,,,
126,basic,10008.5,11140.0155,1131.5155,1.5457,1.2529,2.7775,1.6007,1.3596,2.796
126,gifted,1315.5,1312.4359,-3.0641,,,,,,
127,basic,10008.5,11135.724,1127.224,1.5623,1.259,2.8093,1.6133,1.36,2.8157
127,gifted,1315.5,1312.8504,-2.6496,,,,,,
128,basic,10008.5,11065.144,1056.644,1.5276,1.2527,2.745,1.5709,1.3542,2.7413
128,gifted,1315.5,1312.3003,-3.1997,,,,,,
129,basic,10008.5,11084.6816,1076.1816,1.5027,1.2241,2.6631,1.5569,1.3351,2.6787
129,gifted,1315.5,1311.9601,-3.5399,,,,,,
130,basic,10008.5,11193.2887,1184.7887,1.55,1.2529,2.7902,1.6076,1.3596,2.8157
130,gifted,1315.5,1312.1511,-3.3489,,,,,,
131,basic,10008.5,11152.3035,1143.8035,1.5642,1.2585,2.8094,1.6179,1.3596,2.8158
131,gifted,1315.5,1312.1149,-3.3851,,,,,,
132,basic,10008.5,11171.8248,1163.3248,1.5569,1.259,2.7998,1.618,1.3658,2.8228
132,gifted,1315.5,1312.8761,-2.6239,,,,,,
133,basic,10008.5,11176.4648,1167.9648,1.5741,1.259,2.8421,1.6327,1.3692,2.8463
133,gifted,1315.5,1312.2763,-3.2237,,,,,,
134,basic,10008.5,11162.1976,1153.6976,1.5653,1.2814,2.8094,1.6208,1.3769,2.8185
134,gifted,1315.5,1311.6815,-3.8185,,,,,,
135,basic,10008.5,11166.6282,1158.1282,1.5429,1.2415,2.7856,1.6063,1.3596,2.8156
135,gifted,1315.5,1311.8122,-3.6878,,,,,,
136,basic,10008.5,11121.1638,1112.6638,1.558,1.2415,2.7994,1.609,1.3594,2.8055
136,gifted,1315.5,1312.5526,-2.9474,,,,,,
137,basic,10008.5,11138.2566,1129.7566,1.5794,1.2815,2.8158,1.6351,1.3767,2.8433
137,gifted,1315.5,1311.9174,-3.5826,,,,,,
138,basic,10008.5,11129.1698,1120.6698,1.5748,1.259,2.8184,1.6286,1.3625,2.8428
138,gifted,1315.5,1311.9387,-3.5613,,,,,,
139,basic,10008.5,11137.5693,1129.0693,1.5672,1.2583,2.8155,1.6242,1.3596,2.8322
139,gifted,1315.5,1312.4804,-3.0196,,,,,,
140,basic,10008.5,11150.7457,1142.2457,1.5762,1.2748,2.8299,1.6293,1.3693,2.846
140,gifted,1315.5,1312.5725,-2.9275,,,,,,
141,basic,10008.5,11133.1334,1124.6334,1.5528,1.2529,2.7982,1.601,1.3595,2.8045
141,gifted,1315.5,1312.0991,-3.4009,,,,,,
142,basic,10008.5,11112.4631,1103.9631,1.5613,1.259,2.7992,1.6115,1.3596,2.8115
142,gifted,1315.5,1312.8008,-2.6992,,,,,,
143,basic,10008.5,11166.1695,1157.6695,1.5656,1.259,2.8157,1.6202,1.3596,2.8314
143,gifted,1315.5,1312.5165,-2.9835,,,,,,
144,basic,10008.5,11116.8133,1108.3133,1.4886,1.2186,2.656,1.547,1.3264,2.6624
144,gifted,1315.5,1312.3648,-3.1352,,,,,,
145,basic,10008.5,11137.8395,1129.3395,1.5919,1.2872,2.8459,1.6454,1.3769,2.8463
145,gifted,1315.5,1312.3979,-3.1021,,,,,,
146,basic,10008.5,11196.1749,1187.6749,1.6013,1.2771,2.8465,1.6604,1.3768,2.8622
146,gifted,1315.5,1311.6942,-3.8058,,,,,,
147,basic,10008.5,11193.3254,1184.8254,1.5975,1.2872,2.8465,1.6553,1.378,2.8623
147,gifted,1315.5,1311.9807,-3.5193,,,,,,
148,basic,10008.5,11121.8296,1113.3296,1.5137,1.2252,2.6982,1.5688,1.3476,2.7238
148,gifted,1315.5,1312.1015,-3.3985,,,,,,
149,basic,10008.5,11146.8575,1138.3575,1.5578,1.2577,2.7993,1.6077,1.3596,2.8094
149,gifted,1315.5,1312.2659,-3.2341,,,,,,
150,basic,10008.5,11099.6914,1091.1914,1.5368,1.2499,2.7775,1.5823,1.3594,2.7775
150,gifted,1315.5,1311.4305,-4.0695,,,,,,
151,basic,10008.5,11143.1056,1134.6056,1.5264,1.2475,2.7425,1.5843,1.3596,2.7774
151,gifted,1315.5,1312.4109,-3.0891,,,,,,
152,basic,10008.5,11152.6446,1144.1446,1.5801,1.259,2.846,1.6321,1.3657,2.8462
152,gifted,1315.5,1312.29,-3.21,,,,,,
153,basic,10008.5,11166.7049,1158.2049,1.5636,1.2657,2.8158,1.6218,1.3718,2.8449
153,gifted,1315.5,1312.2853,-3.2147,,,,,,
154,basic,10008.5,11153.619,1145.119,1.6314,1.3068,2.8626,1.6861,1.3934,2.901
154,gifted,1315.5,1311.7624,-3.7376,,,,,,
155,basic,10008.5,11100.8778,1092.3778,1.5664,1.2872,2.8115,1.6156,1.3769,2.8185
155,gifted,1315.5,1311.2072,-4.2928,,,,,,
156,basic,10008.5,11128.9873,1120.4873,1.5883,1.2904,2.8428,1.6391,1.3769,2.8461
156,gifted,1315.5,1311.9765,-3.5235,,,,,,
157,basic,10008.5,11176.8617,1168.3617,1.5763,1.2742,2.8206,1.6383,1.3769,2.8463
157,gifted,1315.5,1313.0313,-2.4687,,,,,,
158,basic,10008.5,11163.2007,1154.7007,1.5774,1.259,2.8185,1.6367,1.3708,2.846
158,gifted,1315.5,1312.151,-3.349,,,,,,
159,basic,10008.5,11087.6606,1079.1606,1.5261,1.2331,2.7547,1.5716,1.3435,2.7383
159,gifted,1315.5,1311.766,-3.734,,,,,,
160,basic,10008.5,11197.9417,1189.4417,1.5935,1.2902,2.8464,1.6463,1.378,2.8466
160,gifted,1315.5,1311.6185,-3.8815,,,,,,
161,basic,10008.5,11126.1636,1117.6636,1.6246,1.3433,2.8466,1.6783,1.4053,2.8826
161,gifted,1315.5,1312.8425,-2.6575,,,,,,
162,basic,10008.5,11112.1027,1103.6027,1.5336,1.2474,2.7624,1.589,1.3594,2.7855
162,gifted,1315.5,1311.9856,-3.5144,,,,,,
163,basic,10008.5,11174.7929,1166.2929,1.5521,1.2567,2.8094,1.6061,1.3596,2.8184
163,gifted,1315.5,1311.9138,-3.5862,,,,,,
164,basic,10008.5,11172.3247,1163.8247,1.5827,1.259,2.8322,1.6425,1.3708,2.8462
164,gifted,1315.5,1312.567,-2.933,,,,,,
165,basic,10008.5,11168.2231,1159.7231,1.5451,1.2472,2.7857,1.6025,1.3596,2.8112
165,gifted,1315.5,1312.0357,-3.4643,,,,,,
166,basic,10008.5,11133.4055,1124.9055,1.5684,1.2529,2.8184,1.6173,1.3596,2.8206
166,gifted,1315.5,1312.1754,-3.3246,,,,,,
167,basic,10008.5,11194.4865,1185.9865,1.6155,1.2897,2.8558,1.6655,1.3769,2.8623
167,gifted,1315.5,1312.1456,-3.3544,,,,,,
168,basic,10008.5,11114.2564,1105.7564,1.5122,1.2337,2.6936,1.5634,1.3447,2.6982
168,gifted,1315.5,1311.9334,-3.5666,,,,,,
169,basic,10008.5,11192.6572,1184.1572,1.5217,1.224,2.7465,1.5842,1.352,2.7855
169,gifted,1315.5,1311.7442,-3.7558,,,,,,
170,basic,10008.5,11127.6783,1119.1783,1.5301,1.2499,2.7382,1.587,1.3596,2.7634
170,gifted,1315.5,1312.2166,-3.2834,,,,,,
171,basic,10008.5,11137.5914,1129.0914,1.5442,1.2794,2.7775,1.5993,1.3765,2.7991
171,gifted,1315.5,1311.9181,-3.5819,,,,,,
172,basic,10008.5,11203.1559,1194.6559,1.5811,1.2774,2.8421,1.64,1.3769,2.8463
172,gifted,1315.5,1311.7621,-3.7379,,,,,,
