draw,program,base_riders,scen_riders,d_riders,base_dist_mean,base_dist_p50,base_dist_p90,scen_dist_mean,scen_dist_p50,scen_dist_p90
0,basic,10008.5,10240.5297,232.0297,1.5567,1.2748,2.8094,1.6455,1.3792,2.9704
0,gifted,1315.5,1315.5,0.0,,,,,,
1,basic,10008.5,10233.2313,224.7313,1.572,1.2872,2.8156,1.6546,1.3902,2.9685
1,gifted,1315.5,1315.5,0.0,,,,,,
2,basic,10008.5,10256.9658,248.4658,1.5125,1.2233,2.7121,1.6047,1.3314,2.9081
2,gifted,1315.5,1315.5,0.0,,,,,,
3,basic,10008.5,10259.9289,251.4289,1.5425,1.2472,2.7959,1.6277,1.3555,2.9594
3,gifted,1315.5,1315.5,0.0,,,,,,
4,basic,10008.5,10269.7578,261.2578,1.5445,1.2527,2.7856,1.633,1.3604,2.9593
4,gifted,1315.5,1315.5,0.0,,,,,,
5,basic,10008.5,10196.2119,187.7119,1.5655,1.259,2.8102,1.651,1.3767,2.9704
5,gifted,1315.5,1315.5,0.0,,,,,,
6,basic,10008.5,10218.879,210.379,1.5644,1.2528,2.8155,1.6498,1.3638,2.9704
6,gifted,1315.5,1315.5,0.0,,,,,,
7,basic,10008.5,10237.5795,229.0795,1.5347,1.2233,2.7555,1.6233,1.3313,2.9564
7,gifted,1315.5,1315.5,0.0,,,,,,
8,basic,10008.5,10266.6424,258.1424,1.5823,1.3069,2.8158,1.6643,1.4053,2.97
8,gifted,1315.5,1315.5,0.0,,,,,,
9,basic,10008.5,10249.7719,241.2719,1.5758,1.2872,2.8185,1.6614,1.3918,2.9704
9,gifted,1315.5,1315.5,0.0,,,,,,
10,basic,10008.5,10255.4393,246.9393,1.5611,1.2529,2.8153,1.6467,1.3625,2.9699
10,gifted,1315.5,1315.5,0.0,,,,,,
11,basic,10008.5,10234.1636,225.6636,1.5802,1.2825,2.8226,1.665,1.3902,2.9704
11,gifted,1315.5,1315.5,0.0,,,,,,
12,basic,10008.5,10241.9476,233.4476,1.579,1.2773,2.8158,1.661,1.3792,2.9699
12,gifted,1315.5,1315.5,0.0,,,,,,
13,basic,10008.5,10254.3139,245.8139,1.5512,1.259,2.7858,1.639,1.372,2.9623
13,gifted,1315.5,1315.5,0.0,,,,,,
14,basic,10008.5,10272.346,263.846,1.502,1.2233,2.6849,1.5964,1.3347,2.8986
14,gifted,1315.5,1315.5,0.0,,,,,,
15,basic,10008.5,10222.5228,214.0228,1.5634,1.259,2.8152,1.6478,1.3768,2.9678
15,gifted,1315.5,1315.5,0.0,,,,,,
16,basic,10008.5,10235.7065,227.2065,1.6043,1.2904,2.8463,1.6861,1.3919,2.9843
16,gifted,1315.5,1315.5,0.0,,,,,,
17,basic,10008.5,10225.7043,217.2043,1.5431,1.2566,2.7858,1.6277,1.3623,2.9594
17,gifted,1315.5,1315.5,0.0,,,,,,
18,basic,10008.5,10298.6073,290.1073,1.5584,1.2528,2.8038,1.6438,1.3601,2.9655
18,gifted,1315.5,1315.5,0.0,,,,,,
19,basic,10008.5,10243.7807,235.2807,1.5893,1.2814,2.8433,1.6729,1.3845,2.983
19,gifted,1315.5,1315.5,0.0,,,,,,
20,basic,10008.5,10268.5597,260.0597,1.5587,1.2566,2.7857,1.6442,1.3657,2.9594
20,gifted,1315.5,1315.5,0.0,,,,,,
21,basic,10008.5,10251.4825,242.9825,1.5416,1.2529,2.7621,1.6307,1.3683,2.9593
21,gifted,1315.5,1315.5,0.0,,,,,,
22,basic,10008.5,10281.6287,273.1287,1.554,1.259,2.7982,1.6409,1.372,2.9654
22,gifted,1315.5,1315.5,0.0,,,,,,
23,basic,10008.5,10259.3869,250.8869,1.545,1.259,2.7582,1.6312,1.3747,2.9339
23,gifted,1315.5,1315.5,0.0,,,,,,
24,basic,10008.5,10226.5664,218.0664,1.5651,1.2871,2.8045,1.6487,1.388,2.9594
24,gifted,1315.5,1315.5,0.0,,,,,,
25,basic,10008.5,10243.0753,234.5753,1.5286,1.2252,2.745,1.6193,1.3432,2.9421
25,gifted,1315.5,1315.5,0.0,,,,,,
26,basic,10008.5,10258.4837,249.9837,1.5817,1.2908,2.8206,1.6646,1.3919,2.9704
26,gifted,1315.5,1315.5,0.0,,,,,,
27,basic,10008.5,10253.9708,245.4708,1.5355,1.2394,2.7632,1.6252,1.3476,2.9564
27,gifted,1315.5,1315.5,0.0,,,,,,
28,basic,10008.5,10263.803,255.303,1.5317,1.2437,2.7633,1.6236,1.3596,2.9594
28,gifted,1315.5,1315.5,0.0,,,,,,
29,basic,10008.5,10253.1374,244.6374,1.5616,1.2527,2.8158,1.647,1.3606,2.97
29,gifted,1315.5,1315.5,0.0,,,,,,
30,basic,10008.5,10227.8738,219.3738,1.5346,1.2297,2.7555,1.6226,1.3441,2.9539
30,gifted,1315.5,1315.5,0.0,,,,,,
31,basic,10008.5,10252.0588,243.5588,1.5259,1.2473,2.7494,1.6181,1.3555,2.9592
31,gifted,1315.5,1315.5,0.0,,,,,,
32,basic,10008.5,10264.7305,256.2305,1.4995,1.2252,2.6631,1.5924,1.3434,2.8622
