school_year,class_of,_source_id,_source_table,section_code,item_code,item_label,item_value,coefficient,calculated_value,amount,running_total
2018-2019,2019,2807,stars_operations_allocation,B,b6_alternate_system_total,B.6. Alternate System Total,,,,0.0,29914910.38
2018-2019,2019,2807,stars_operations_allocation,C,c1_alt_calendar_modifier,C.1. Alt Calendar Modifier,,1.0,,,29914910.38
2018-2019,2019,2807,stars_operations_allocation,C,c2_car_mileage_reimbursement,C.2. Car Mileage Reimbursement,,,,44.0,
2018-2019,2019,2807,stars_operations_allocation,C,c3_other_adjustments_total,C.3. Other Adjustments Total,,,,44.0,29914954.38
2018-2019,2019,2807,stars_operations_allocation,D,d1_adjusted_allocation,D.1. Adjusted Allocation,,,,29914954.38,
2018-2019,2019,2807,stars_operations_allocation,D,d2_prior_year_expenditures,D.2. Prior Year Expenditures,,,,33630114.24,
2018-2019,2019,2807,stars_operations_allocation,D,d3_federal_restricted_rate_indirects,D.3. Federal Restricted Rate Indirects,,,,1096341.72,
2018-2019,2019,2807,stars_operations_allocation,D,d4_adjusted_prior_year_expenditures,D.4. Adjusted Prior Year Expenditures,,,,34726455.96,
2018-2019,2019,2807,stars_operations_allocation,D,d5_lesser_of_adjusted_or_prior_year,D.5. Lesser of Adjusted Allocation or Adjusted Prior Year Expenditures,,,,29914954.38,
2018-2019,2019,2807,stars_operations_allocation,D,d6_legislative_salary,D.6. Legislative Salary,,,,7273907.0,
2018-2019,2019,2807,stars_operations_allocation,D,d7_legislative_benefit,D.7. Legislative Benefit,,,,1742371.25,
2018-2019,2019,2807,stars_operations_allocation,D,d8_actual_allocation_amount,D.8. ACTUAL ALLOCATION AMOUNT,,,,38931232.63,
2019-2020,2020,4633,stars_operations_allocation,A,land_area,Land Area (Ln),85.5,0.06,0.26691,,
2019-2020,2020,4633,stars_operations_allocation,A,average_distance,Average Distance,2.22363,0.041,0.09117,,
2019-2020,2020,4633,stars_operations_allocation,A,destinations,Destinations,106.625,0.013,1.38613,,
2019-2020,2020,4633,stars_operations_allocation,A,basic_program,Basic Program (Ln),18226.75,0.685,6.72033,,
2019-2020,2020,4633,stars_operations_allocation,A,special_program,Special Program (Ln),4890.75,0.103,0.87502,,
2019-2020,2020,4633,stars_operations_allocation,A,non_high_yes,Non-High Yes,,0.0,0.0,,
2019-2020,2020,4633,stars_operations_allocation,A,non_high_no,Non-High No,,-0.33,0.0,,
2019-2020,2020,4633,stars_operations_allocation,A,a1_sum_calculated_values,A.1. Sum of Calculated Values,,,9.33955,,
2019-2020,2020,4633,stars_operations_allocation,A,a2_expected_allocation_constant,A.2. Expected Allocation Constant Value,,,7.927,,
2019-2020,2020,4633,stars_operations_allocation,A,a3_expected_allocation_value,A.3. Expected Allocation Value,,,17.26655,,
2019-2020,2020,4633,stars_operations_allocation,A,a4_initial_allocation,A.4. Initial Allocation,,,,31533057.15,
2019-2020,2020,4633,stars_operations_allocation,A,a5_local_characteristics_factor,A.5. Local Characteristics Factor,,,1.0,,
2019-2020,2020,4633,stars_operations_allocation,A,a6_calculated_expected_allocation,A.6. CALCULATED EXPECTED ALLOCATION,,,,31533057.15,
2019-2020,2020,4633,stars_operations_allocation,B,b1_non_high,B.1. Non-High,,,,0.0,
2019-2020,2020,4633,stars_operations_allocation,B,b2_low_ridership,B.2. Low Ridership,,,,0.0,
2019-2020,2020,4633,stars_operations_allocation,B,b3_transportation_coop,B.3. Transportation Co-op,,,,0.0,
2019-2020,2020,4633,stars_operations_allocation,B,b4_esd,B.4. ESD,,,,0.0,
2019-2020,2020,4633,stars_operations_allocation,B,b5_other,B.5. Other,,,,0.0,
