school_year,class_of,_source_id,_source_table,section_code,item_code,item_label,item_value,coefficient,calculated_value,amount,running_total
2024-2025,2025,13129,stars_operations_allocation,D,d3_federal_restricted_rate_indirects,D.3. Federal Restricted Rate Indirects,,,,2555390.27,
2024-2025,2025,13129,stars_operations_allocation,D,d4_adjusted_prior_year_expenditures,D.4. Adjusted Prior Year Expenditures,,,,61435350.37,
2024-2025,2025,13129,stars_operations_allocation,D,d5_lesser_of_adjusted_or_prior_year,D.5. Lesser of Adjusted Allocation or Adjusted Prior Year Expenditures,,,,37384049.11,
2024-2025,2025,13129,stars_operations_allocation,D,d6_legislative_salary,D.6. Legislative Salary,,,,1010480.14,
2024-2025,2025,13129,stars_operations_allocation,D,d7_legislative_benefit,D.7. Legislative Benefit,,,,0.0,
2024-2025,2025,13129,stars_operations_allocation,D,d8_actual_allocation_amount,D.8. ACTUAL ALLOCATION AMOUNT,,,,38394529.25,
2025-2026,2026,14731,stars_operations_allocation,A,land_area,Land Area (Ln),85.5,0.02839,0.12629,,
2025-2026,2026,14731,stars_operations_allocation,A,average_distance,Average Distance,2.16255,0.04231,0.0915,,
2025-2026,2026,14731,stars_operations_allocation,A,destinations,Destinations,105.75,0.01523,1.61057,,
2025-2026,2026,14731,stars_operations_allocation,A,basic_program,Basic Program (Ln),9194.75,0.66498,6.06894,,
2025-2026,2026,14731,stars_operations_allocation,A,special_program,Special Program (Ln),4256.25,0.11,0.9192,,
2025-2026,2026,14731,stars_operations_allocation,A,non_high_yes,Non-High Yes,,0.0,0.0,,
2025-2026,2026,14731,stars_operations_allocation,A,non_high_no,Non-High No,,-0.29176,0.0,,
2025-2026,2026,14731,stars_operations_allocation,A,a1_sum_calculated_values,A.1. Sum of Calculated Values,,,8.8165,,
2025-2026,2026,14731,stars_operations_allocation,A,a2_expected_allocation_constant,A.2. Expected Allocation Constant Value,,,8.6013,,
2025-2026,2026,14731,stars_operations_allocation,A,a3_expected_allocation_value,A.3. Expected Allocation Value,,,17.4178,,
2025-2026,2026,14731,stars_operations_allocation,A,a4_initial_allocation,A.4. Initial Allocation,,,,36682298.35,
2025-2026,2026,14731,stars_operations_allocation,A,a5_local_characteristics_factor,A.5. Local Characteristics Factor,,,1.0,,
2025-2026,2026,14731,stars_operations_allocation,A,a6_calculated_expected_allocation,A.6. CALCULATED EXPECTED ALLOCATION,,,,36682298.35,
2025-2026,2026,14731,stars_operations_allocation,B,b1_non_high,B.1. Non-High,,,,0.0,
2025-2026,2026,14731,stars_operations_allocation,B,b2_low_ridership,B.2. Low Ridership,,,,0.0,
2025-2026,2026,14731,stars_operations_allocation,B,b3_transportation_coop,B.3. Transportation Co-op,,,,0.0,
2025-2026,2026,14731,stars_operations_allocation,B,b4_esd,B.4. ESD,,,,0.0,
2025-2026,2026,14731,stars_operations_allocation,B,b5_other,B.5. Other,,,,0.0,
2025-2026,2026,14731,stars_operations_allocation,B,b6_alternate_system_total,B.6. Alternate System Total,,,,0.0,36682298.35
2025-2026,2026,14731,stars_operations_allocation,C,c1_alt_calendar_modifier,C.1. Alt Calendar Modifier,,1.0,,,36682298.35
2025-2026,2026,14731,stars_operations_allocation,C,c2_car_mileage_reimbursement,C.2. Car Mileage Reimbursement,,,,0.0,
2025-2026,2026,14731,stars_operations_allocation,C,c3_other_adjustments_total,C.3. Other Adjustments Total,,,,0.0,36682298.35
2025-2026,2026,14731,stars_operations_allocation,D,d1_adjusted_allocation,D.1. Adjusted Allocation,,,,36682298.35,
2025-2026,2026,14731,stars_operations_allocation,D,d2_prior_year_expenditures,D.2. Prior Year Expenditures,,,,59773326.13,
2025-2026,2026,14731,stars_operations_allocation,D,d3_federal_restricted_rate_indirects,D.3. Federal Restricted Rate Indirects,,,,2815323.66,
2025-2026,2026,14731,stars_operations_allocation,D,d4_adjusted_prior_year_expenditures,D.4. Adjusted Prior Year Expenditures,,,,62588649.79,
2025-2026,2026,14731,stars_operations_allocation,D,d5_lesser_of_adjusted_or_prior_year,D.5. Lesser of Adjusted Allocation or Adjusted Prior Year Expenditures,,,,36682298.35,
2025-2026,2026,14731,stars_operations_allocation,D,d6_legislative_salary,D.6. Legislative Salary,,,,1048781.91,
2025-2026,2026,14731,stars_operations_allocation,D,d7_legislative_benefit,D.7. Legislative Benefit,,,,0.0,
2025-2026,2026,14731,stars_operations_allocation,D,d8_actual_allocation_amount,D.8. ACTUAL ALLOCATION AMOUNT,,,,37731080.26,
