draw,school_id,program,base_eligible,base_riders,scen_eligible,scen_riders,base_dist_mean,scen_dist_mean
1,109,basic,158.26,113.957,192.698,139.948,2.073,2.027
1,110,basic,400.823,220.418,425.114,232.725,2.093,2.119
1,113,basic,394.108,259.216,336.87,221.576,2.332,2.327
1,113,gifted,136.316,124.979,0.0,0.0,,
1,115,basic,148.205,93.816,229.873,145.782,1.721,1.71
1,117,basic,260.201,168.911,244.839,161.341,2.344,2.256
1,117,gifted,89.697,82.237,0.0,0.0,,
1,118,basic,267.166,152.469,469.001,267.093,2.093,2.107
1,130,basic,662.075,410.975,720.198,444.634,1.69,1.719
1,201,basic,80.781,52.081,135.754,86.619,1.065,1.127
1,202,basic,169.896,87.373,179.355,93.147,1.643,1.586
1,203,basic,266.384,179.726,297.42,197.377,1.295,1.388
1,204,basic,176.111,121.962,199.498,110.813,1.418,2.807
1,208,basic,207.905,166.611,0.0,0.0,1.277,
1,209,basic,144.056,48.654,163.487,55.043,0.783,0.8
1,210,basic,193.148,78.172,0.0,0.0,1.402,
1,211,basic,78.268,48.275,114.407,68.375,1.104,1.284
1,212,gifted,206.118,188.975,0.0,0.0,,
1,215,basic,119.43,67.251,144.925,80.147,0.903,0.997
1,218,basic,155.638,92.786,180.951,107.393,0.768,0.794
1,220,basic,87.328,69.418,0.0,0.0,1.388,
1,221,basic,162.3,102.591,241.884,138.135,0.999,1.504
1,222,basic,145.167,82.187,182.239,108.465,2.142,1.897
1,225,basic,89.683,44.16,97.742,47.861,1.222,1.256
1,226,basic,259.935,155.649,306.76,181.454,1.317,1.404
1,229,basic,249.216,197.07,0.0,0.0,1.137,
1,230,basic,98.015,64.578,149.619,93.487,1.047,1.372
1,233,basic,278.514,165.781,365.167,216.224,0.841,0.871
1,234,basic,73.659,58.364,0.0,0.0,1.17,
1,235,basic,77.329,46.621,119.666,70.433,1.214,1.362
1,236,basic,51.134,43.518,67.326,57.989,1.069,1.002
1,239,basic,270.296,155.656,0.0,0.0,1.689,
1,241,basic,385.606,127.997,680.523,223.464,1.914,1.979
1,242,basic,154.476,103.304,0.0,0.0,1.234,
1,243,basic,212.687,108.865,303.883,154.793,0.98,1.011
1,244,basic,36.578,34.033,38.027,35.733,1.158,1.045
1,245,basic,317.485,260.386,433.374,354.777,1.225,1.24
1,246,basic,228.878,115.522,392.396,192.578,1.188,1.351
1,247,basic,366.785,120.032,744.883,234.705,1.616,1.833
1,248,basic,146.462,91.125,0.0,0.0,0.888,
1,249,basic,31.524,23.165,39.91,29.559,0.881,0.84
1,250,basic,89.164,64.532,156.607,114.56,0.967,0.903
1,251,basic,135.579,61.152,165.532,72.865,1.438,1.582
1,252,basic,235.609,156.613,275.09,175.246,1.46,1.7
1,255,basic,87.661,56.797,148.267,95.435,0.834,0.876
1,257,basic,122.431,100.254,191.981,154.122,1.059,1.18
1,259,basic,163.064,117.418,0.0,0.0,1.307,
1,261,basic,167.88,149.854,245.19,211.937,1.095,1.275
